year,ward,dept,program,category,location,desc,blocks,unit_count,est_cost
2012,3,CDOT: COMM,Street Speed Hump Menu,Streets/CDOT,ON S CALUMET AVE FROM E 43 ST (4300 S) TO E 44 ST (4400 S),,,1.00,"$3,700.00"
2012,3,CDOT: COMM,Street Speed Hump Menu,Streets/CDOT,ON S FEDERAL ST FROM W 13 ST (1299 S) TO W 14 ST (1400 S),,,1.00,"$5,550.00"
2012,3,CDOT: COMM,Street Speed Hump Menu,Streets/CDOT,ON S LAFLIN ST FROM W 46 ST (4600 S) TO W 47 ST (4700 S),,,1.00,"$3,700.00"
2012,3,CDOT: DEO,Floodlight Menu,Lighting,ON CULLERTON FROM S STATE ST (0 E) TO S WABASH AV (44 E),Adding Floodlight with Mast Arm,,,"$1,200.00"
2012,3,CDOT: DEO,Floodlight Menu,Lighting,ON 43 FROM S CALUMET AV (320 E) TO S PRAIRIE AV (236 E),Install floodlights on El tracks & New Controller,,,"$10,000.00"
2012,3,CDOT: DEO,Street Light Residential Staggered Piggy Back Menu,Lighting,ON LAFAYETTE FROM W GARFIELD BV (5500 S) TO W 57 ST (5700 S),,,,"$128,000.00"
2012,3,CDOT: DEO,Street Light Upgrade Menu,Lighting,342 W 42ND PL,,,,$350.00
2012,3,CDOT: DEO,Street Light Upgrade Menu,Lighting,ON INDIANA FROM E 31 ST (3100 S) TO E GARFIELD BV (5500 S),,,,"$43,800.00"
2012,3,CDOT: DEO,Street Light Upgrade Menu,Lighting,501 E 44TH PL,,,,$350.00
2012,3,CDOT: DEO,Street Light Upgrade Menu,Lighting,ON 43 FROM S MICHIGAN AV (120 E) TO S INDIANA AV (200 E),,,,"$1,800.00"
2012,3,CDOT: DEO,Street Light Upgrade Menu,Lighting,5048 S INDIANA AVE,,,1.00,$427.00
2012,3,CDOT: DEO,Street Light Upgrade Menu,Lighting,ON PRINCETON FROM W GARFIELD BV (5500 S) TO W 57 ST (5700 S),,,,"$2,100.00"
2012,3,CDOT: DEO,Street Light Upgrade Menu,Lighting,ON CULLERTON FROM S STATE ST (0 E) TO S WABASH AV (44 E),,,,$800.00
2012,3,CDOT: DEO,Street Light Upgrade Menu,Lighting,"4753 S FORRESTVILLE AVE $1,316,459.00 $3,541.00",,,1.00,$500.00
2012,4,CDOT: COMM,Alley Resurfacing Menu,Streets/CDOT,E 47TH ST & E 47TH PL & S DREXEL BLVD & S COTTAGE GROVE AVE,,,0.00,"$18,351.00"
2012,4,CDOT: COMM,Alley Resurfacing Menu,Streets/CDOT,S GREENWOOD AVE & S ELLIS AVE & E 47TH ST & E 48TH ST,,,0.00,"$5,844.00"
2012,4,CDOT: COMM,Curb & Gutter Menu,Streets/CDOT,ON S DREXEL BLVD FROM E 41 ST (4114 S) TO E 42 PL (4228 S),,,0.00,"$60,751.00"
2012,4,CDOT: COMM,Curb & Gutter Menu,Streets/CDOT,ON E 42ND PL FROM S COTTAGE GROVE AV (800 E) TO S DREXEL AV (900 E),,,0.00,"$13,521.00"
2012,4,CDOT: COMM,Curb & Gutter Menu,Streets/CDOT,ON E BOWEN AVE FROM S ST LAWRENCE AV (600 E) TO S LANGLEY AV (679 E),,,0.00,"$29,629.00"
2012,4,CDOT: COMM,Curb & Gutter Menu,Streets/CDOT,ON S BERKELEY AVE FROM E 44 ST (4400 S) TO E 45 ST (4500 S),,,0.00,"$4,216.00"
2012,4,CDOT: COMM,Miscellaneous Other Projects,Streets/CDOT,Harper Ave.,,,,"$200,000.00"
2012,4,CDOT: COMM,Miscellaneous Other Projects,Streets/CDOT,ON 44 FROM S GREENWOOD AV (1100 E) TO S LAKE PARK AV (1175 E),,,,"$19,903.00"
2012,4,CDOT: COMM,Sidewalk Menu,Streets/CDOT,ON S KIMBARK AVE FROM E HYDE PARK BV (5100 S) TO E 52 ST (5150 S),,,0.00,"$20,253.00"
2012,4,CDOT: COMM,Sidewalk Menu,Streets/CDOT,ON E 47TH ST FROM S LANGLEY AV (700 E) TO S EVANS AV (732 E),,,0.00,"$16,421.00"
2012,4,CDOT: COMM,Sidewalk Menu,Streets/CDOT,ON E OAKWOOD BLVD FROM S VINCENNES AV (544 E) TO S LANGLEY AV (650 E),,,0.00,"$22,812.00"
2012,4,CDOT: COMM,Sidewalk Menu,Streets/CDOT,ON E 48TH ST FROM S GREENWOOD AV (1100 E) TO S WOODLAWN AV (1200 E),,,0.00,"$28,386.00"
2012,4,CDOT: COMM,Sidewalk Menu,Streets/CDOT,ON S RIDGEWOOD CT FROM E 54 ST (5322 S) TO Dead End (5384 S),,,0.00,"$11,468.00"
2012,4,CDOT: COMM,Sidewalk Menu,Streets/CDOT,ON S WOODLAWN AVE FROM E 52 ST (5150 S) TO E 53 ST (5242 S),,,0.00,"$4,335.00"
2012,4,CDOT: COMM,Sidewalk Menu,Streets/CDOT,ON W 46TH ST FROM S GREENWOOD AV (1100 E) TO S WOODLAWN AV (1200 E),,,0.00,"$71,664.00"
2012,4,CDOT: COMM,Sidewalk Menu,Streets/CDOT,ON S GREENWOOD AVE FROM E 47 ST (4700 S) TO E 48 ST (4800 S),,,0.00,"$22,887.00"
2012,4,CDOT: COMM,Street Resurfacing Menu,Streets/CDOT,ON E 54TH ST FROM S WOODLAWN AV (1200 E) TO S KIMBARK AV (1242 E),,,0.50,"$22,148.00"
2012,4,CDOT: COMM,Street Resurfacing Menu,Streets/CDOT,ON S DORCHESTER AVE FROM E 50 ST (5000 S) TO E HYDE PARK BV (5100 S),,,1.00,"$34,476.00"
2012,4,CDOT: COMM,Street Resurfacing Menu,Streets/CDOT,ON E 40TH ST FROM S COTTAGE GROVE AV (800 E) TO S DREXEL (W) AV(831 E),,,1.00,"$15,299.00"
2012,4,CDOT: COMM,Street Resurfacing Menu,Streets/CDOT,ON E 42ND ST FROM S VINCENNES AV (515 E) TO S ST LAWRENCE AV (600 E),,,1.00,"$49,392.00"
2012,4,CDOT: COMM,Street Resurfacing Menu,Streets/CDOT,ON E 37TH ST FROM S ELLIS AV (792 E) TO S LAKE PARK AV (815 E),,,1.00,"$52,350.00"
2012,4,CDOT: COMM,Street Resurfacing Menu,Streets/CDOT,ON S EVANS AVE FROM E 50 PL (5032 S) TO E 51 ST (5100 S),,,1.00,"$39,743.00"
2012,4,CDOT: COMM,Street Resurfacing Menu,Streets/CDOT,ON S ELLIS AVE FROM E 37 ST (3640 S) TO E PERSHING RD (3842 S),,,2.00,"$32,357.00"
