ward,type,location,year,est_cost,id,from_intersection,to_intersection,lat_1,lon_1,query_1,lat_2,lon_2,query_2,geometry,ward_locate,precinct_locate,ward_precinct_locate
36,Sidewalk Menu,ON NATCHEZ FROM W BELMONT AV (3200 N) TO W BELMONT AV (3200 N),2012,2094,31715,NATCHEZ and W BELMONT AV,NATCHEZ and W BELMONT AV,41.9382721,-87.7883515,google,41.9382721,-87.7883515,google,"c(-87.7883515, 41.9382721)",36,17,36017
42,Street Light Pole Painting,ON OHIO FROM N CLARK ST (100 W) TO N FRANKLIN ST (300 W),2012,3300,36661,OHIO and N CLARK ST,OHIO and N FRANKLIN ST,41.892428230000064,-87.63114292999995,census,NA,NA,google,"c(-87.63114293, 41.8924282300001)",42,58,42058
42,Street Light Upgrade,ON OHIO FROM N CLARK ST (100 W) TO N FRANKLIN ST (300 W),2012,7200,36670,OHIO and N CLARK ST,OHIO and N FRANKLIN ST,41.892428230000064,-87.63114292999995,census,NA,NA,google,"c(-87.63114293, 41.8924282300001)",42,58,42058
42,Traffic Equipment,ON OHIO FROM N CLARK ST (100 W) TO N FRANKLIN ST (300 W),2012,6050,36678,OHIO and N CLARK ST,OHIO and N FRANKLIN ST,41.892428230000064,-87.63114292999995,census,NA,NA,google,"c(-87.63114293, 41.8924282300001)",42,58,42058
3,Street Light Upgrade,ON PRINCETON FROM W GARFIELD BV (5500 S) TO W 57 ST (5700 S),2012,2100,2785,PRINCETON and W GARFIELD BV,PRINCETON and W 57th ST,41.7941746,-87.6548894,google,NA,NA,google,"c(-87.6548894, 41.7941746)",16,18,16018
2,Alley Apron Menu,ON S ASHLAND AVE FROM 333 S TO W JACKSON BV (300 S),2012,11545,1931,333 S ASHLAND AVE,S ASHLAND AVE and W JACKSON BV,NA,NA,census,41.8776134,-87.6667468,google,"c(-87.6667468, 41.8776134)",2,13,02013
10,Street Resurfacing Menu,ON S BALTIMORE AVE FROM E 130 ST (13000 S) TO E 129 ST (12900 S),2012,21217,8030,S BALTIMORE AVE and E 130th ST,S BALTIMORE AVE and E 129th ST,41.65915818700006,-87.54713130499994,census,NA,NA,google,"c(-87.5471313049999, 41.6591581870001)",10,24,10024
25,Sidewalk Menu,ON S BLUE ISLAND AVE FROM W 18 ST (1800 S) TO W 18 ST (1800 S),2012,9305,21875,S BLUE ISLAND AVE and W 18th ST,S BLUE ISLAND AVE and W 18th ST,41.85788131800007,-87.66115138999999,census,41.85788131800007,-87.66115138999999,census,"c(-87.66115139, 41.8578813180001)",25,24,25024
9,Street Resurfacing Menu,ON S CALUMET AVE FROM E 117 ST (11704 S) TO E 118 ST (11800 S),2013,30457,7021,S CALUMET AVE and E 117th ST,S CALUMET AVE and E 118th ST,41.6813942,-87.6147055,google,NA,NA,google,"c(-87.6147055, 41.6813942)",9,28,09028
4,Sidewalk Menu,ON S COTTAGE GROVE AVE FROM E 37TH ST (3700 S) TO E 37TH PL (3729 S),2019,30109.3,3729,S COTTAGE GROVE AVE and E 37TH ST,S COTTAGE GROVE AVE and E 37TH PL,41.8268215,-87.6083631,google,41.8268215,-87.6083631,google,"c(-87.6083631, 41.8268215)",4,20,04020
