ward,type,location,year,est_cost,intersection_1,intersection_2,lat_1,lon_1,query_1,lat_2,lon_2,query_2,id,ward_locate,precinct_locate,ward_precinct_locate,geometry,total_length_2003,intersect_length_2003
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,6,9,06009,"list(c(-87.6185409746947, -87.6190875680012, 41.7254745965087, 41.7259074436892), c(-87.6162779483241, -87.6166168887435, 41.7236824165462, 41.7239508460437))",24109.69740792703,107.1519031445769
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,6,50,06050,"list(c(-87.6166168887435, -87.6185409746947, 41.7239508460437, 41.7254745965087), c(-87.614146357162, -87.6162779483241, 41.7219941932683, 41.7236824165462))",24109.69740792703,490.7666008960969
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,1,10,43,10043,"c(-87.5538940248563, -87.5555534180616, 41.7336975500198, 41.7361399994462)",22242.889582830292,304.49859456397843
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,1,7,5,07005,"c(-87.5555534180616, -87.5563549252291, 41.7361399994462, 41.7373196572442)",22242.889582830292,147.0682427426265
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,1,5,7,05007,"c(-87.5722747237409, -87.5747286584836, 41.7607402777137, 41.7643487007199)",22242.889582830292,449.9095571603238
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,1,3,39,03039,"c(-87.6132718727655, -87.6134272214588, 41.8209650517932, 41.8211930160213)",22242.889582830292,28.42998586892772
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,1,3,20,03020,"c(-87.6134272214588, -87.6152435379151, 41.8211930160213, 41.8238582077895)",22242.889582830292,332.3846307569922
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,1,3,38,03038,"c(-87.6170522098105, -87.6176999103386, 41.8265119333364, 41.82746219425)",22242.889582830292,118.51222258135485
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,1,3,5,03005,"c(-87.6205619811508, -87.6226423810422, 41.8316608430914, 41.8347123929185)",22242.889582830292,380.5849356448511
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,1,10,25,10025,"list(c(-87.5526828709474, -87.5538940248563, 41.7319147285796, 41.7336975500198), c(-87.5483851299979, -87.5526654285113, 41.7255875422997, 41.7318890524561))",22242.889582830292,1007.8471007031445
