ward,type,location,year,est_cost,id,address,query,geometry,ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate
2,Sidewalk Menu,102 W GERMANIA PL,2017,38823.28,2295,102 W GERMANIA PL,census,"c(-87.6317169599999, 41.9104347680001)",02033,33,777218.562915,5596.98500927,2
2,Sidewalk Menu,102 W GERMANIA PL,2018,63565.31,2339,102 W GERMANIA PL,census,"c(-87.6317169599999, 41.9104347680001)",02033,33,777218.562915,5596.98500927,2
1,Alley Resurfacing Menu,1020 N MARSHFIELD AVE,2022,19151.03,984,1020 N MARSHFIELD AVE,census,"c(-87.668639038, 41.9005271240001)",01003,3,1373280.65152,5484.82600711,1
25,Sidewalk Menu,1020 W MONROE ST,2019,14903.4,22145,1020 W MONROE ST,google,"c(-87.6531859, 41.880577)",25031,31,1250016.48791,6239.16687693,25
9,POD Camera,10200 S. LaSalle,2009,24000,6923,10200 S. LaSalle,google,"c(-87.6274502, 41.7088129)",09010,10,2211236.08585,6879.96881586,9
9,POD Camera,10200 S. State,2009,24000,6921,10200 S. State,google,"c(-87.6238644, 41.7088494)",09017,17,2397991.9493,8462.79198343,9
8,Pedestrian Refuge Island Menu,10201 S COTTAGE GROVE AVE,2021,40741.11,6530,10201 S COTTAGE GROVE AVE,google,"c(-87.6054399, 41.7086719)",08032,32,10557576.0229,17491.0825178,8
10,Miscellaneous-CDOT,10212 S. Ewing Av.,2007,2259,7720,10212 S. Ewing Av.,census,"c(-87.535291656, 41.709715557)",10030,30,2303295.85982,6275.52802981,10
27,Alley Speed Hump Menu,1022 N ST LOUIS AVE,2018,1400,23831,1022 N ST LOUIS AVE,google,"c(-87.7142968, 41.8998441)",27029,29,1495510.70467,5452.78579357,27
9,Sidewalk Menu,10222 S ST LAWRENCE AVE,2018,496.66,7182,10222 S ST LAWRENCE AVE,google,"c(-87.6092136, 41.7084811)",09013,13,2755534.24422,7283.24676822,9
10,Bollard Menu,10224 S VAN VLISSINGEN RD,2008,630,7805,10224 S VAN VLISSINGEN RD,census,"c(-87.568926389, 41.7094556480001)",07042,42,2474226.83365,7932.28505342,7
34,Sidewalk Menu,10228 S BEVERLY AVE,2022,13202.29,30400,10228 S BEVERLY AVE,census,"c(-87.656663413, 41.7081408290001)",34049,49,5604886.35736,11877.8224883,34
48,Alley Apron Menu,1023 W THORNDALE AVE,2017,10060.74,41879,1023 W THORNDALE AVE,census,"c(-87.65663087, 41.9900804130001)",48016,16,1131331.05773,4256.82101629,48
32,Chicago Park District,1023 W Wrightwood,2006,10000,27946,1023 W Wrightwood,google,"c(-87.654708, 41.928599)",43031,31,1374577.51107,6679.88112927,43
