ward,type,location,year,est_cost,id,intersection_1,intersection_2,lat_1,lon_1,query_1,lat_2,lon_2,query_2,total_length,ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate,intersect_length,geometry
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,7717,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,22242.889582830292,05036,36,1171971.85717,5045.2326809100005,5,225.8206962431513,"c(-87.5747281192351, -87.5759599135756, 41.7643479078247, 41.766159044596)"
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,7717,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,22242.889582830292,05039,39,969341.457839,5371.18012414,5,222.30667334425024,"c(-87.5944248404434, -87.5956385613846, 41.7932946420244, 41.7950773883627)"
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,7717,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,22242.889582830292,05034,34,1816249.67787,6399.6392074,5,593.0414250195175,"list(c(-87.5895366379157, -87.5915410188414, 41.7861135837393, 41.7890583573895), c(-87.5919567653278, -87.5931896428053, 41.7896691208629, 41.7914802351914))"
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,7717,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,22242.889582830292,05025,25,25695249.8072,35894.5221761,5,1478.3063329458744,"c(-87.5784235193094, -87.5864899327117, 41.7697809970006, 41.7816368750332)"
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,7717,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,22242.889582830292,07030,30,1868307.96773,5965.17918409,7,349.3400153258373,"c(-87.5569003714602, -87.5588044051395, 41.7381224167355, 41.7409244973017)"
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,7717,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,22242.889582830292,07003,3,1825900.43665,9425.55589007,7,189.27292144700704,"c(-87.5712420376499, -87.5722743035274, 41.7592216129165, 41.7607396597656)"
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,7717,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,22242.889582830292,07031,31,5308562.81229,10553.7142219,7,146.75193293944074,"c(-87.5555547105806, -87.5563544939072, 41.7361419018143, 41.737319022438)"
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,7717,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,22242.889582830292,07004,4,1753576.51171,5301.0406104,7,35.65887273359203,"c(-87.5710475650202, -87.5712420376499, 41.7589356130241, 41.7592216129165)"
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,7717,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,22242.889582830292,07010,10,2176655.97738,6628.171698,7,673.6138829137457,"c(-87.5673742057095, -87.5710475650202, 41.7535328708776, 41.7589356130241)"
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,7717,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,22242.889582830292,07016,16,1608372.6527,5944.38419071,7,15.79531651039314,"c(-87.5661479318898, -87.5662340551782, 41.7517290503661, 41.7518557394733)"
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,7717,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,22242.889582830292,07019,19,1675080.21223,5621.10706383,7,449.01688134800344,"c(-87.5636998287079, -87.5661479318898, 41.7481276047979, 41.7517290503661)"
