ward,type,location,year,est_cost,id,school_park_name,query,geometry,ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate
22,Chicago Park District,Piotrowsi Park - Addt'l lighting and equipment,2011,100000,18676,Piotrowski Park,google,"c(-87.7307657, 41.8361245)",22016,16,20211090.0728,18469.6225235,22
9,School Projects,Poe School - Playground,2012,7115,7013,Poe School,google,"c(-87.6066076, 41.702492)",09008,8,19522874.075,19154.3792838,9
49,Chicago Park District,Pottawattomie Park - dog friendly area (DFA),2010,119040,42466,Pottawattomie Park,google,"c(-87.6775959, 42.0158615)",49033,33,2142411.45854,6791.60560948,49
4,Miscellaneous-Other,Donoghue and Price Schools - murals,2009,20000,3349,Price Elementary School,google,"c(-87.6037684, 41.8152201)",04005,5,2715644.88582,9171.31495571,4
4,Printers Row Park - Lighting Improvements,Printers Row Park,2017,6500,3664,Printers Row Park,google,"c(-87.6294082, 41.8733693)",04017,17,654416.061928,4153.48774585,4
1,Schools,"Pritzker Playground (Menu 2010 , 2009 ,",2008,339,306,Pritzker Park,google,"c(-87.6280111, 41.8774231)",04021,21,2022818.35532,7207.68801124,4
1,Schools,"Pritzker Playground (Menu 2010 , 2009 ,",2009,111,348,Pritzker Park,google,"c(-87.6280111, 41.8774231)",04021,21,2022818.35532,7207.68801124,4
1,Schools,"Pritzker Playground (Menu 2010 , 2009 ,",2010,47153,372,Pritzker Park,google,"c(-87.6280111, 41.8774231)",04021,21,2022818.35532,7207.68801124,4
32,Chicago Park District,Pulaski Park,2007,98750,27979,Pulaski Park,google,"c(-87.6651332, 41.9070273)",02006,6,2268822.46403,7182.23056102,2
47,Schools,"Ravenswood School - electronic sign, playground (TPC =",2008,168,40557,Ravenswood School,google,"c(-87.6743402, 41.9738264)",40025,25,1669190.63945,5573.44673515,40
47,Schools,"Ravenswood School - electronic sign, playground (TPC =",2009,8274,40611,Ravenswood School,google,"c(-87.6743402, 41.9738264)",40025,25,1669190.63945,5573.44673515,40
47,Schools,Ravenswood School - electronic sign and plaground (TPC =,2010,18016,40639,Ravenswood School,google,"c(-87.6743402, 41.9738264)",40025,25,1669190.63945,5573.44673515,40
47,Schools,Ravenswood School - electronic sign,2011,35542,40693,Ravenswood School,google,"c(-87.6743402, 41.9738264)",40025,25,1669190.63945,5573.44673515,40
13,School Projects,Richard Henry Lee School - wrought iron fence,2012,30000,10802,Richard Henry Lee School,google,"c(-87.7293039, 41.7752558)",13039,39,2204591.98445,6626.06839975,13
33,Chicago Park District,River Park,2006,556,28777,River Park,google,"c(-87.7019812, 41.9739995)",40017,17,4025786.31742,9195.70725195,40
33,Chicago Park District,River Park,2008,22255,28871,River Park,google,"c(-87.7019812, 41.9739995)",40017,17,4025786.31742,9195.70725195,40
40,Chicago Park District,River Park Playground,2007,200000,34860,River Park,google,"c(-87.7019812, 41.9739995)",40017,17,4025786.31742,9195.70725195,40
44,Chicago Park District,Roscoe Playlot,2005,100000,38137,Roscoe Park,google,"c(-87.7359019, 41.9426187)",30007,7,2773150.68748,7709.68934024,30
1,Schools,Sabin School Sculpture Art Project,2005,3750,95,Sabin School,google,"c(-87.6830757, 41.9072052)",01014,14,2649329.42767,7968.45240576,1
1,Schools,Sabin School Sculpture Art Project,2005,20000,96,Sabin School,google,"c(-87.6830757, 41.9072052)",01014,14,2649329.42767,7968.45240576,1
35,Miscellaneous-CDOT,Safe Kids Murphy School Pavement Markings,2010,16300,30720,Safe Kids Murphy School,google,"c(-87.7170874, 41.9497364)",35004,4,5966071.43382,11913.5816947,35
39,Chicago Park District,Eugene Field and Sauganash Park,2008,100000,34147,Sauganash Park,google,"c(-87.7373095, 41.9882005)",39037,37,3747046.11383,10782.7202823,39
39,POD Camera,5861 N. Kostner (Sauganash Park),2009,20000,34197,Sauganash Park,google,"c(-87.7373095, 41.9882005)",39037,37,3747046.11383,10782.7202823,39
39,Miscellaneous-CDOT,Saughnash Park,2009,6700,34176,Saughnash Park,google,"c(-87.7373095, 41.9882005)",39037,37,3747046.11383,10782.7202823,39
36,Chicago Park District,Sayre Park,2008,100000,31616,Sayre Park,google,"c(-87.7971244, 41.9208169)",29030,30,6842449.74189,19702.5251892,29
40,Chicago Park District,Schreiber Park,2008,200000,34903,Schreiber Park,google,"c(-87.670083, 41.999398)",40028,28,2082414.32859,6420.22043811,40
23,Schools,Security cameras at Byrne Elementary School,2007,5748,19395,Security cameras at Byrne Elementary School,google,"c(-87.7910176, 41.7948196)",23021,21,2289979.60108,7035.12571686,23
48,Schools,Senn High School,2005,400000,41463,Senn High School,google,"c(-87.6667743, 41.9890128)",48042,42,1751624.45678,5498.36525526,48
48,Schools,Senn Hih School,2006,350000,41494,Senn High School,google,"c(-87.6667743, 41.9890128)",48042,42,1751624.45678,5498.36525526,48
36,Chicago Park District,Shabbona Park Playground - 6935 W. Addison,2011,59422,31707,Shabbona Park,google,"c(-87.8001607, 41.9427387)",38004,4,3759756.95944,9293.95128512,38
36,Chicago Park District,Shabbona Park Plaground - 6935 W. Addison,2012,85301,31746,Shabbona Park,google,"c(-87.8001607, 41.9427387)",38004,4,3759756.95944,9293.95128512,38
36,Chicago Park District,Shabbona Park,2013,35277,31778,Shabbona Park,google,"c(-87.8001607, 41.9427387)",38004,4,3759756.95944,9293.95128512,38
25,Chicago Park District,Sheridan Park,2006,10000,21469,Sheridan Park,google,"c(-87.6629672, 41.9655201)",46002,2,815375.347371,4326.73635715,46
