ward,type,location,year,est_cost,id,query,geometry,ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate
26,Alley Resurfacing Menu,1501 N KARLOV AVE,2022,2960.665,23148,census,"c(-87.7289051389999, 41.9080908280001)",26015,15,1721112.64949,6781.97018656,26
26,Alley Resurfacing Menu,1501 NSPRINGFIELD AVE,2022,25872.175,23149,google,"c(-87.7237456, 41.9082291)",26016,16,875597.502266,3988.54211886,26
47,Speed Indicator Signs,1511 W IRVINGPARK RD,2022,985.096666666667,41398,census,"c(-87.6677718989999, 41.954301564)",47024,24,1581896.3235,6047.37864549,47
32,Alley Apron Menu,1544 W BARRY AVE,2021,15881.71,28593,census,"c(-87.667263433, 41.9378814930001)",32010,10,1967184.59763,6237.6798353,32
24,Miscellaneous-CDOT,16 th St. at Spaulding Ave,2009,1200,20816,google,"c(-87.7100495, 41.9389721)",35001,1,2739015.08179,8970.85929063,35
43,Alley Resurfacing Menu,1600 N HALSTED ST,2022,26311.91,38069,census,"c(-87.648302601, 41.911721916)",43005,5,1330827.95974,7050.04889032,43
49,Miscellaneous Other,1600 W Birchwood Ave,2013,3228,42576,google,"c(-87.6706624, 42.0178417)",49005,5,1734221.49423,6494.8187344,49
49,Alley Resurfacing Menu,1600 W LUNT AVE,2022,14447.975,43018,census,"c(-87.670135051, 42.00905349)",49020,20,1533413.90368,6024.96491695,49
24,Miscellaneous CDOT Projects,1608 S TRUMBULL AVE,2022,150,21295,census,"c(-87.7115515359999, 41.8588099780001)",24013,13,1106036.82705,4658.76289116,24
24,Miscellaneous CDOT Projects,1610 S TRUMBULL AVE,2022,150,21295,census,"c(-87.7115511979999, 41.8587944240001)",24013,13,1106036.82705,4658.76289116,24
8,Alley Speed Hump Menu,1614 E 83RD PL,2021,350,6519,census,"c(-87.58434835, 41.7433166800001)",08030,30,3356325.04863,9190.09729783,8
12,Alley Resurfacing Menu,1614 W 33RD ST,2021,7005.23,10275,census,"c(-87.666284173, 41.83417782)",12009,9,5566992.86798,11205.4038526,12
26,Alley Resurfacing Menu,1615 N KEYSTONEAVE,2021,30151.565,23077,google,"c(-87.7273711, 41.9105902)",26038,38,816658.981829,4364.73329021,26
26,Alley Resurfacing Menu,1615 N LOWELL AVE,2021,25154.14,23079,census,"c(-87.734888858, 41.9105443790001)",26013,13,1109665.75825,4694.05134888,26
29,Alley Resurfacing Menu,1645 N OAKPARK AVE,2021,21679.305,25451,census,"c(-87.79481556, 41.9101214880001)",29010,10,2976700.60468,9632.39742676,29
16,Pole Painting,16TH WARD,2007,291600,14017,google,"c(-87.6535081, 41.779493)",16009,9,3073898.18618,7675.84547508,16
16,Street Lighting,16TH WARD,2007,588200,14018,google,"c(-87.6535081, 41.779493)",16009,9,3073898.18618,7675.84547508,16
26,Alley Resurfacing Menu,1700 N PULASKI RD,2021,16466.03,23082,census,"c(-87.726399417, 41.9117991890001)",26038,38,816658.981829,4364.73329021,26
15,Alley Resurfacing Menu,1714 W 47TH ST,2022,25913.175,13821,census,"c(-87.668001386, 41.8085828590001)",15013,13,2842532.57918,7962.86940602,15
