ward,type,location,year,est_cost,id,from_intersection,to_intersection,lat_1,lon_1,query_1,lat_2,lon_2,query_2,lat,long
4,Street Resurface Menu,E OAKWOOD BV-- S LAKE PARK AV (929 E) -to- S LAKE PARK AV (929 E),2007,19409,3279,E OAKWOOD BV AND S LAKE PARK AV,E OAKWOOD BV AND S LAKE PARK AV,41.82429515900003,-87.60346600599996,census,41.82429515900003,-87.60346600599996,census,41.82429515900003,-87.60346600599996
42,Curb/Gutter Menu,E ONTARIO ST-- N WABASH AV (44 E) -to- N WABASH AV (44 E),2005,10000,36227,E ONTARIO ST AND N WABASH AV,E ONTARIO ST AND N WABASH AV,41.89329652600003,-87.62675723299998,census,41.89329652600003,-87.62675723299998,census,41.89329652600003,-87.62675723299998
42,Curb/Gutter Menu,E PEARSON ST-- N BAUMHART (110 E) -to- N BAUMHART (110 E),2005,10000,36228,E PEARSON ST AND N BAUMHART,E PEARSON ST AND N BAUMHART,41.8977385,-87.6271733,google,41.8977385,-87.6271733,google,41.8977385,-87.6271733
42,Street Resurface Menu,E PEARSON ST-- N DEWITT PL (320 E) -to- N DEWITT PL (320 E),2005,3478,36265,E PEARSON ST AND N DEWITT PL,E PEARSON ST AND N DEWITT PL,41.89764202400005,-87.62018069799996,census,41.89764202400005,-87.62018069799996,census,41.89764202400005,-87.62018069799996
4,Curb/Gutter Menu,E PERSHING RD-- S ELLIS AV (839 E) -to- S ELLIS AV (839 E),2009,3861,3333,E PERSHING RD AND S ELLIS AV,E PERSHING RD AND S ELLIS AV,41.8243936,-87.605375,google,41.8243936,-87.605375,google,41.8243936,-87.605375
42,Sidewalk Menu,E WALTON ST-- N RUSH ST (35 E) -to- N RUSH ST (35 E),2007,411,36431,E WALTON ST AND N RUSH ST,E WALTON ST AND N RUSH ST,41.89995747900008,-87.62714314299996,census,41.89995747900008,-87.62714314299996,census,41.89995747900008,-87.62714314299996
45,Street Resurface Menu,N AUSTIN AV-- Dead End (5422 N) -to- N NORTHWEST HW (5475 N),2007,11524,39052,N AUSTIN AV AND Dead End,N AUSTIN AV AND N NORTHWEST HW,NA,NA,google,41.98058838000003,-87.77808589299997,census,41.98058838000003,-87.77808589299997
39,Street Resurface Menu,N AVERS AV-- W AINSLIE ST (4900 N) -to- W AINSLIE ST (4900 N),2009,2789,34185,N AVERS AV AND W AINSLIE ST,N AVERS AV AND W AINSLIE ST,41.97010451300008,-87.72445255599996,census,41.97010451300008,-87.72445255599996,census,41.97010451300008,-87.72445255599996
45,Street Speed Hump Menu,N AVONDALE AV-- N MARMORA AV (5222 N) -to- N MARMORA AV (5222 N) 2,2010,3500,39182,N AVONDALE AV AND N MARMORA AV,N AVONDALE AV AND N MARMORA AV,41.97723981300004,-87.77569807999998,census,41.97723981300004,-87.77569807999998,census,41.97723981300004,-87.77569807999998
39,Street Resurface Menu,N BERNARD ST-- W AINSLIE ST (4900 N) -to- Dead End (4947 N),2005,18329,33987,N BERNARD ST AND W AINSLIE ST,N BERNARD ST AND Dead End,41.97021305000004,-87.71463599099997,census,NA,NA,google,41.97021305000004,-87.71463599099997
39,Pole Painting,N BERNARD ST-- W LAWRENCE AV (4800 N) -to- Dead End (4947 N),2008,3000,34130,N BERNARD ST AND W LAWRENCE AV,N BERNARD ST AND Dead End,41.96839204100007,-87.71458775199994,census,NA,NA,google,41.96839204100007,-87.71458775199994
35,Street Speed Hump Menu,N BERNARD ST-- W BYRON ST (3900 N) -to- W BYRON ST (3900 N) 2,2010,3700,30759,N BERNARD ST AND W BYRON ST,N BERNARD ST AND W BYRON ST,41.9520189,-87.7140547,google,41.9520189,-87.7140547,google,41.9520189,-87.7140547
35,Sidewalk Menu,N CALIFORNIA AV-- W DIVERSEY AV (2800 N) -to- W KENNEDY ENTR RP (2916 N),2010,15776,30723,N CALIFORNIA AV AND W DIVERSEY AV,N CALIFORNIA AV AND W KENNEDY ENTR RP,41.932109,-87.6976128,google,NA,NA,google,41.932109,-87.6976128
2,Street Lighting,N CALIFORNIA AV-- W MADISON ST (0 N) -to- W KENNEDY ENTR RP (2916 N),2008,5400,1480,N CALIFORNIA AV AND W MADISON ST,N CALIFORNIA AV AND W KENNEDY ENTR RP,41.8810889,-87.6962626,google,NA,NA,google,41.8810889,-87.6962626
