ward,type,location,year,est_cost,id,intersection_1,intersection_2,lat_1,lon_1,query_1,lat_2,lon_2,query_2,geometry,ward_locate,precinct_locate,ward_precinct_locate
6,Street Resurface Menu,S LAFAYETTE AVE & W 73 ST (7300 S) & W 73 ST (7300 S),2011,37040,4788,7300 S LAFAYETTE AVE,7300 S LAFAYETTE AVE,41.7617181,-87.6267672,google,41.7617181,-87.6267672,google,"c(-87.6267672, 41.7617181)",6,49,06049
44,Sidewalk Menu,W ALDINE AVE & N HALSTED ST (800 W) & W SCHOOL ST (921 W),2011,3238,38335,800 W ALDINE AVE,800 W ALDINE AVE,41.941783,-87.6499291,google,41.941783,-87.6499291,google,"c(-87.6499291, 41.941783)",44,42,44042
44,Curb/Gutter Menu,W BUCKINGHAM PL & N HALSTED ST (800 W) & N HALSTED ST (800 W),2011,9604,38303,800 W BUCKINGHAM PL,800 W BUCKINGHAM PL,41.94289,-87.64958,google,41.94289,-87.64958,google,"c(-87.64958, 41.94289)",44,42,44042
44,Curb/Gutter Menu,W BARRY AVE & N WILTON AV (932 W) & N WILTON AV (932 W),2011,1617,38305,932 W BARRY AVE,932 W BARRY AVE,41.9383136,-87.653032,google,41.9383136,-87.653032,google,"c(-87.653032, 41.9383136)",44,14,44014
8,Sidewalk Menu,S DREXEL AVE & E 98 ST (9800 S) & E 98 ST (9800 S),2011,27848,6153,9800 S DREXEL AVE,9800 S DREXEL AVE,41.7164867,-87.6020706,google,41.7164867,-87.6020706,google,"c(-87.6020706, 41.7164867)",8,47,08047
49,Chicago Park District,IBeach access ramp & boardwalk-Jarvis & Lake and,2011,97000,42510,IBeach access ramp & boardwalk-Jarvis,IBeach access ramp & Lake and,42.0159136,-87.669144,google,NA,NA,google,"c(-87.669144, 42.0159136)",49,33,49033
26,Miscellaneous-CDOT,"Installation of Street Cleaning Signs & sections 3 , 4 , 5 ,6 &",2010,85528,22538,"Installation of Street Cleaning Signs & sections 3 , 4 , 5 ,6",Installation of Street Cleaning Signs &,41.7679382,-87.8140025,google,41.7679382,-87.8140025,google,"c(-87.8140025, 41.7679382)",NA,NA,NA
32,Miscellaneous-CDOT,Lincoln & Barry & Greenview,2010,44,28129,Lincoln & Barry,Lincoln & Greenview,41.9378983,-87.6661648,google,41.9378983,-87.6661648,google,"c(-87.6661648, 41.9378983)",32,7,32007
32,Miscellaneous-CDOT,Lincoln & Wellington & Southport,2009,2300,28063,Southport & Wellington,Lincoln & Southport,41.9361388,-87.663677,google,41.9361388,-87.663677,google,"c(-87.663677, 41.9361388)",32,8,32008
36,Miscellaneous-CDOT,N. Oak & Belden & Railroad Track,2008,2000,31594,N. Oak & Belden,N. Oak & Railroad Track,NA,NA,google,41.9815154,-87.9396873,google,"c(-87.9396873, 41.9815154)",41,27,41027
2,Traffic Equipment,W ROOSEVELT RD & S ASHLAND & W AVE,2012,3500,2032,S ASHLAND & W ROOSEVELT RD,S ASHLAND & W AVE,41.8667957,-87.666311,google,NA,NA,google,"c(-87.666311, 41.8667957)",2,10,02010
12,Alley Speed Hump Menu,S ROCKWELLS WASHTENAW AVE & W 24TH PL & W 24TH ST,2011,1650,9755,S ROCKWELLS WASHTENAW AVE & W 24TH PL,S ROCKWELLS WASHTENAW AVE & W 24TH ST,41.8476994,-87.6928497,google,41.8476994,-87.6928497,google,"c(-87.6928497, 41.8476994)",12,18,12018
43,Miscellaneous-CDOT,State & North & Astor,2009,332164,37370,State & North,State & Astor,NA,NA,google,41.9078216,-87.6275552,google,"c(-87.6275552, 41.9078216)",43,18,43018
26,Street Resurface Menu,W REFECTORY DR & W HUMBOLT DR & W PARKING LOT DR,2011,22066,22620,W REFECTORY DR & W HUMBOLT DR,W REFECTORY DR & W PARKING LOT DR,41.9011913,-87.7022585,google,NA,NA,google,"c(-87.7022585, 41.9011913)",26,27,26027
41,1 LPR/Existing Camera - NE 6000 N. Northwest Hwy,W THOME AVE & N RAVENSWOOD AVE & W 6000 N NORTHWEST HWY,2022,5485.5,36172,N RAVENSWOOD AVE & W 6000 N NORTHWEST HWY,W THOME AVE & W 6000 N NORTHWEST HWY,41.9900713,-87.7956609,google,41.9900713,-87.7956609,google,"c(-87.7956609, 41.9900713)",41,35,41035
