ward_locate,precinct_locate,ward_precinct_locate,year,weighted_cost
1,30,01030,2006,1800.4093880948672
1,30,01030,2007,0
1,30,01030,2008,0
1,30,01030,2009,37570.4900471856
1,30,01030,2010,47572.999999992775
1,30,01030,2011,6304.89352864539
1,30,01030,2012,162075.435253731
1,30,01030,2013,0
1,30,01030,2014,25570.000000000044
1,30,01030,2015,32555.450761346885
1,30,01030,2016,801.46
1,30,01030,2017,217.08454120275746
1,30,01030,2018,772.1219778336513
1,30,01030,2019,350
1,30,01030,2020,97775.75100271551
1,30,01030,2021,125011.13464302896
1,30,01030,2022,24776
1,31,01031,2003,0
1,31,01031,2004,0
1,31,01031,2005,45652.708152642736
1,31,01031,2006,7501.975950728737
1,31,01031,2007,25638.47106793249
1,31,01031,2008,4817.135335217766
1,31,01031,2009,26688.052740271472
1,31,01031,2010,0
1,31,01031,2011,0
1,31,01031,2012,3700
1,31,01031,2013,0
1,31,01031,2014,0
1,31,01031,2015,0
1,31,01031,2016,0
1,31,01031,2017,0
1,31,01031,2018,0
1,31,01031,2019,0
1,31,01031,2020,0
1,31,01031,2021,10971
1,31,01031,2022,0
1,32,01032,2003,0
1,32,01032,2004,0
1,32,01032,2005,23696.841162037996
1,32,01032,2006,4.202403844781971
1,32,01032,2007,0
1,32,01032,2008,61492.36790090628
1,32,01032,2009,0
1,32,01032,2010,27274.570855627244
1,32,01032,2011,46786.195951653826
1,32,01032,2012,25534.18260408047
1,32,01032,2013,10298
1,32,01032,2014,0
1,32,01032,2015,0.7458442010885722
1,32,01032,2016,124452.70000027111
1,32,01032,2017,22161.381854836658
1,32,01032,2018,137053.50494453858
1,32,01032,2019,894.6588078014316
1,32,01032,2020,0
1,32,01032,2021,63608.37
1,32,01032,2022,0
1,33,01033,2003,0
1,33,01033,2004,0
1,33,01033,2005,60158.35908620256
1,33,01033,2006,61934.260385933936
1,33,01033,2007,2120.9163214426517
1,33,01033,2008,0
1,33,01033,2009,0
1,33,01033,2010,500000
1,33,01033,2011,3405.8844034443955
1,33,01033,2012,0
1,33,01033,2013,0
1,33,01033,2014,100658.65191406633
1,33,01033,2015,19592.201324841655
1,33,01033,2016,1845.386494229542
1,33,01033,2017,20077.930914416775
1,33,01033,2018,0
1,33,01033,2019,0
1,33,01033,2020,134107.713984533
1,33,01033,2021,0
1,33,01033,2022,41920.781987424096
1,34,01034,2003,0
1,34,01034,2004,0
1,34,01034,2005,5821.956097038021
1,34,01034,2006,0
1,34,01034,2007,0.6494030492065579
1,34,01034,2008,46474.66021704448
1,34,01034,2009,3503.781418715308
1,34,01034,2010,0
1,34,01034,2011,0
1,34,01034,2012,0
1,34,01034,2013,0
1,34,01034,2014,0
1,34,01034,2015,9034.00000000334
1,34,01034,2016,0
1,34,01034,2017,256632.5534000898
1,34,01034,2018,0
1,34,01034,2019,23.049593621043456
1,34,01034,2020,0
1,34,01034,2021,10544.01
1,34,01034,2022,0
1,35,01035,2003,0
1,35,01035,2004,0
1,35,01035,2005,9497.866673195897
1,35,01035,2006,64.65159265970269
1,35,01035,2007,6592.399332458671
1,35,01035,2008,0
1,35,01035,2009,30000.000000109387
1,35,01035,2010,0
1,35,01035,2011,0
1,35,01035,2012,0
1,35,01035,2013,0
1,35,01035,2014,0
1,35,01035,2015,0
1,35,01035,2016,0
1,35,01035,2017,0
1,35,01035,2018,0
1,35,01035,2019,0
1,35,01035,2020,0
1,35,01035,2021,0
1,35,01035,2022,0
1,36,01036,2003,0
1,36,01036,2004,0
1,36,01036,2005,158757.25057248134
1,36,01036,2006,44202.68209063358
1,36,01036,2007,0
1,36,01036,2008,5274.6672860080935
1,36,01036,2009,9280.565111876806
1,36,01036,2010,0
1,36,01036,2011,34905.999999657455
1,36,01036,2012,0
1,36,01036,2013,14924.059069525782
1,36,01036,2014,0
1,36,01036,2015,27812.516099586304
1,36,01036,2016,30055.879217286583
1,36,01036,2017,350
1,36,01036,2018,350
1,36,01036,2019,350
1,36,01036,2020,29962.408743093634
1,36,01036,2021,224.78828110237714
1,36,01036,2022,91612.63543715989
1,37,01037,2003,0
1,37,01037,2004,0
1,37,01037,2005,13225.585003187229
1,37,01037,2006,71372.42620713616
1,37,01037,2007,48.755584231142095
1,37,01037,2008,0
1,37,01037,2009,0
1,37,01037,2010,0
1,37,01037,2011,20599.213426630806
1,37,01037,2012,0
1,37,01037,2013,0
1,37,01037,2014,0
1,37,01037,2015,0
1,37,01037,2016,0
1,37,01037,2017,0
1,37,01037,2018,0
1,37,01037,2019,0
1,37,01037,2020,3287.5479304883333
1,37,01037,2021,0
1,37,01037,2022,0
1,38,01038,2003,0
1,38,01038,2004,0
1,38,01038,2005,21602.484446676284
1,38,01038,2006,2.912846692884515
1,38,01038,2007,1987.2074223784182
1,38,01038,2008,15366.316103210982
1,38,01038,2009,24085.840248447952
1,38,01038,2010,0
1,38,01038,2011,15866.417454952332
1,38,01038,2012,0
1,38,01038,2013,27933.138190513317
1,38,01038,2014,0
1,38,01038,2015,0
1,38,01038,2016,25114.9
1,38,01038,2017,0
1,38,01038,2018,0
1,38,01038,2019,72009.88248888236
1,38,01038,2020,0
1,38,01038,2021,0
1,38,01038,2022,0
1,39,01039,2003,0
1,39,01039,2004,0
1,39,01039,2005,17470.830318883785
1,39,01039,2006,28091.946499966532
1,39,01039,2007,0
1,39,01039,2008,122372.98985690561
1,39,01039,2009,18614.96703231966
1,39,01039,2010,1127.2312579180461
1,39,01039,2011,0
1,39,01039,2012,600
1,39,01039,2013,0
1,39,01039,2014,0
1,39,01039,2015,0
1,39,01039,2016,16000
1,39,01039,2017,51624.1
1,39,01039,2018,0
1,39,01039,2019,0
1,39,01039,2020,0
1,39,01039,2021,0
1,39,01039,2022,0
1,40,01040,2003,0
1,40,01040,2004,0
1,40,01040,2005,8943.268635686176
1,40,01040,2006,4997.996581499838
1,40,01040,2007,0
