ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate,year,weighted_cost
23012,12,2448718.0099,8674.41488099,23,2012,1927.9999999948013
23012,12,2448718.0099,8674.41488099,23,2013,179924.71067681877
23012,12,2448718.0099,8674.41488099,23,2014,22890.67062079084
23012,12,2448718.0099,8674.41488099,23,2015,17617.83572179641
23012,12,2448718.0099,8674.41488099,23,2016,79578.93282738705
23012,12,2448718.0099,8674.41488099,23,2017,100171.17293483613
23012,12,2448718.0099,8674.41488099,23,2018,22306.497702190187
23012,12,2448718.0099,8674.41488099,23,2019,10351.71
23012,12,2448718.0099,8674.41488099,23,2020,53066.92
23012,12,2448718.0099,8674.41488099,23,2021,9701.37
23012,12,2448718.0099,8674.41488099,23,2022,49066.604041718034
23013,13,2387154.40616,6650.74111333,23,2003,0
23013,13,2387154.40616,6650.74111333,23,2004,0
23013,13,2387154.40616,6650.74111333,23,2005,0
23013,13,2387154.40616,6650.74111333,23,2006,0
23013,13,2387154.40616,6650.74111333,23,2007,0
23013,13,2387154.40616,6650.74111333,23,2008,0
23013,13,2387154.40616,6650.74111333,23,2009,0
23013,13,2387154.40616,6650.74111333,23,2010,0
23013,13,2387154.40616,6650.74111333,23,2011,0
23013,13,2387154.40616,6650.74111333,23,2012,0
23013,13,2387154.40616,6650.74111333,23,2013,950
23013,13,2387154.40616,6650.74111333,23,2014,23849
23013,13,2387154.40616,6650.74111333,23,2015,0
23013,13,2387154.40616,6650.74111333,23,2016,102003.72235124475
23013,13,2387154.40616,6650.74111333,23,2017,55.73159081092559
23013,13,2387154.40616,6650.74111333,23,2018,92552.51228395541
23013,13,2387154.40616,6650.74111333,23,2019,15491.36941790068
23013,13,2387154.40616,6650.74111333,23,2020,3198.19
23013,13,2387154.40616,6650.74111333,23,2021,2866.66
23013,13,2387154.40616,6650.74111333,23,2022,9778.29
23014,14,2443471.38695,6591.80411454,23,2003,0
23014,14,2443471.38695,6591.80411454,23,2004,0
23014,14,2443471.38695,6591.80411454,23,2005,0
23014,14,2443471.38695,6591.80411454,23,2006,41285.95123672047
23014,14,2443471.38695,6591.80411454,23,2007,997.9155564012485
23014,14,2443471.38695,6591.80411454,23,2008,2248.2617972589455
23014,14,2443471.38695,6591.80411454,23,2009,11797.09467908529
23014,14,2443471.38695,6591.80411454,23,2010,24331.79855550928
23014,14,2443471.38695,6591.80411454,23,2011,3063.999999991384
23014,14,2443471.38695,6591.80411454,23,2012,32932.69422144729
23014,14,2443471.38695,6591.80411454,23,2013,2426.866643230364
23014,14,2443471.38695,6591.80411454,23,2014,11652.092954355523
23014,14,2443471.38695,6591.80411454,23,2015,83999.89864772763
23014,14,2443471.38695,6591.80411454,23,2016,29650.047515042344
23014,14,2443471.38695,6591.80411454,23,2017,0
23014,14,2443471.38695,6591.80411454,23,2018,25139.2
23014,14,2443471.38695,6591.80411454,23,2019,11051.04
23014,14,2443471.38695,6591.80411454,23,2020,4133.28
23014,14,2443471.38695,6591.80411454,23,2021,0
23014,14,2443471.38695,6591.80411454,23,2022,49417.85999988381
23015,15,2027483.97345,6629.71211037,23,2003,0
23015,15,2027483.97345,6629.71211037,23,2004,0
23015,15,2027483.97345,6629.71211037,23,2005,0
23015,15,2027483.97345,6629.71211037,23,2006,0
23015,15,2027483.97345,6629.71211037,23,2007,0
23015,15,2027483.97345,6629.71211037,23,2008,0
23015,15,2027483.97345,6629.71211037,23,2009,0
23015,15,2027483.97345,6629.71211037,23,2010,0
23015,15,2027483.97345,6629.71211037,23,2011,0
23015,15,2027483.97345,6629.71211037,23,2012,0
23015,15,2027483.97345,6629.71211037,23,2013,950
23015,15,2027483.97345,6629.71211037,23,2014,3631.514503501369
23015,15,2027483.97345,6629.71211037,23,2015,244621
23015,15,2027483.97345,6629.71211037,23,2016,22739.380592470585
23015,15,2027483.97345,6629.71211037,23,2017,12621.873883666985
23015,15,2027483.97345,6629.71211037,23,2018,0
23015,15,2027483.97345,6629.71211037,23,2019,7954.815658361865
23015,15,2027483.97345,6629.71211037,23,2020,0
23015,15,2027483.97345,6629.71211037,23,2021,0
23015,15,2027483.97345,6629.71211037,23,2022,0
23016,16,1735616.06382,6287.55539892,23,2003,0
23016,16,1735616.06382,6287.55539892,23,2004,0
23016,16,1735616.06382,6287.55539892,23,2005,0
23016,16,1735616.06382,6287.55539892,23,2006,347.330334321794
23016,16,1735616.06382,6287.55539892,23,2007,1027.8572177411247
23016,16,1735616.06382,6287.55539892,23,2008,0.17056202644626295
23016,16,1735616.06382,6287.55539892,23,2009,8013.576946952537
