ward,type,location,year,est_cost,intersection_1,intersection_2,intersection_3,intersection_4,lat_1,lon_1,query_1,lat_2,lon_2,query_2,lat_3,lon_3,query_3,lat_4,lon_4,query_4
1,Alley Resurface Menu,W AUGUSTA BV & W THOMAS ST & N HONORE ST & N WOOD ST,2007,29148,N HONORE ST & W THOMAS ST,N WOOD ST & W THOMAS ST,N HONORE ST & W AUGUSTA BV,N WOOD ST & W AUGUSTA BV,41.90143277800007,-87.67354470199996,census,41.9014444,-87.6723388,google,41.89961578900005,-87.67348842399997,census,41.899635888000034,-87.67227843799998,census
1,Alley Resurface Menu,W ELLEN ST & N WOOD ST & RAILROAD TRACKS & RAILROAD TRACKS,2006,5750,NA,NA,NA,N WOOD ST & W ELLEN ST,NA,NA,,NA,NA,,NA,NA,,41.9055623,-87.672421,google
1,Alley Speed Hump Menu,N HERMITAGE AV & N WOOD ST & W CHICAGO AV & W PEARSON ST,2005,3500,N HERMITAGE AV & W CHICAGO AV,N WOOD ST & W CHICAGO AV,N HERMITAGE AV & W PEARSON ST,N WOOD ST & W PEARSON ST,41.8960217,-87.6709574,google,41.8959984,-87.6721706,google,41.89727219400004,-87.67099207399997,census,41.8972519,-87.6722022,google
1,Alley Resurfacing Menu,W IOWA ST & N WOLCOTT AVE & W RICE ST & N WOOD ST,2016,37684.64,N WOLCOTT AVE & W IOWA ST,N WOOD ST & W IOWA ST,N WOLCOTT AVE & W RICE ST,N WOOD ST & W RICE ST,41.89777066000005,-87.67466223099996,census,41.897814879000066,-87.67223019899996,census,41.8968635,-87.6746362,google,41.89691040500003,-87.67220205999996,census
1,Alley Resurface Menu,W NORTH AV & N HONORE ST & N ELK GROVE AV & N ELK GROVE AV,2006,12160,NA,N HONORE ST & W NORTH AV,N ELK GROVE AV & W NORTH AV,NA,NA,NA,,41.9105436,-87.6738036,google,41.91052576300007,-87.67501598099994,census,NA,NA,
1,Alley Resurface Menu,N PAULINA ST & N MOORMAN ST & N MILWAUKEE AVE & N PAULINA ST,2011,3768,NA,N PAULINA ST & N MILWAUKEE AVE,N MOORMAN ST & N MILWAUKEE AVE,NA,NA,NA,,41.9052542,-87.6694414,google,41.9049372,-87.6705023,google,NA,NA,
1,Alley Resurface Menu,N HERMITAGE AV & N MOORMAN ST & N PAULINA ST & W CRYSTAL ST,2008,11735,N HERMITAGE AV & W CRYSTAL ST,N MOORMAN ST & W CRYSTAL ST,N PAULINA ST & W CRYSTAL ST,NA,41.90410198300003,-87.67108453099996,census,41.9037174,-87.7117018,google,41.9520032,-87.6714218,google,NA,NA,
1,Concrete Alley Menu,N POINT ST & W FRANCIS PL & N CALIFORNIA AV & N CALIFORNIA AV,2007,75209,N POINT ST & W FRANCIS PL,N CALIFORNIA AV & W FRANCIS PL,NA,NA,41.9183868,-87.6953035,google,41.9181409,-87.6972122,google,NA,NA,,NA,NA,
1,Alley Resurface Menu,W JULIA CT & W ST HELEN CT & N STAVE ST & N STAVE ST,2009,7194,N STAVE ST & W JULIA CT,N STAVE ST & W ST HELEN CT,NA,NA,41.92009711500003,-87.69548926699997,census,41.919619,-87.6947025,google,NA,NA,,NA,NA,
1,Alley Speed Hump Menu,W HADDON & W HADDON & W HADDON & W HADDON,2005,875,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,
1,Alley Speed Hump Menu,N CALIFORNIA & N CALIFORNIA & N CALIFORNIA & N CALIFORNIA,2005,875,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,
1,Alley Speed Hump Menu,N MAPLEWOOD & N MAPLEWOOD & N MAPLEWOOD & N MAPLEWOOD,2005,875,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,
1,Alley Speed Hump Menu,N Oakley & N Oakley & N Oakley & N Oakley,2005,875,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,
