ward,type,location,year,est_cost,intersection_1,intersection_2,lat_1,lon_1,query_1,lat_2,lon_2,query_2
14,Miscellaneous-CDOT,S Whipple & W 44 ST - W 45 ST,2006,9043,S Whipple & W 44th ST,S Whipple & W 45th ST,41.8136338,-87.7004844,google,41.8118294,-87.7004038,google
14,Miscellaneous-CDOT,S Whipple & W 46 ST - W 47 ST,2006,2217,S Whipple & W 46th ST,S Whipple & W 47th ST,41.8099956,-87.7003689,google,41.8081861,-87.7003041,google
14,Miscellaneous-CDOT,S Whipple & W 51ST-W 52ST,2006,6237,S Whipple & W 51ST,S Whipple & W 52ST,41.8008875,-87.70047,google,41.7990485,-87.7000318,google
14,Miscellaneous-CDOT,S Whipple & W 52ST-W 53ST,2006,11154,S Whipple & W 52ST,S Whipple & W 53ST,41.7990485,-87.7000318,google,41.7972234,-87.6999952,google
14,Miscellaneous-CDOT,S Whipple & W 58 ST-W 59 ST,2006,6641,S Whipple & W 58th ST,S Whipple & W 59th ST,41.7881199,-87.6997383,google,41.7863021,-87.699687,google
14,Miscellaneous-CDOT,W 42 ST & S Mozart - S Francisco,2006,13124,W 42nd ST & S Mozart,W 42nd ST & S Francisco,41.8173252,-87.6957038,google,41.8173134,-87.6969329,google
14,Miscellaneous-CDOT,W 44 ST & S Albany - S Troy,2006,7390,W 44th ST & S Albany,W 44th ST & S Troy,41.8136152,-87.7017024,google,41.8135969,-87.7029179,google
14,Miscellaneous-CDOT,W 47ST & S Springfield-S Pulaski,2006,32045,W 47ST & S Springfield,W 47ST & S Pulaski,41.8078993,-87.7211205,google,41.8078729,-87.7235091,google
14,Miscellaneous-CDOT,W 47ST & S Avers-S Springfield,2006,14235,W 47ST & S Avers,W 47ST & S Springfield,41.807913,-87.7198953,google,41.8078993,-87.7211205,google
14,Miscellaneous-CDOT,W 53 Pl & S Homan-S StLouis,2006,3825,W 53 Pl & S Homan,W 53 Pl & S StLouis,41.7961753,-87.70852,google,41.7961402,-87.7109932,google
14,Miscellaneous-CDOT,W 53 PL & S Sacramento-S Albany,2006,2694,W 53rd PL & S Sacramento,W 53rd PL & S Albany,41.7963308,-87.6987422,google,41.7963036,-87.7011828,google
14,Miscellaneous-CDOT,W 53ST & S Sacramento-S Whipple,2006,1175,W 53ST & S Sacramento,W 53ST & S Whipple,41.7972538,-87.6987754,google,41.7972234,-87.6999952,google
14,Miscellaneous-CDOT,W 55ST & S Spaulding-S Christiana,2006,4706,W 55ST & S Spaulding,W 55ST & S Christiana,41.793488,-87.7059974,google,41.7934641,-87.7072265,google
14,Miscellaneous-CDOT,W 55 PL & S Lawndale-S Hamlin,2006,10733,W 55th PL & S Lawndale,W 55th PL & S Hamlin,41.7924073,-87.7157838,google,41.7923701,-87.718232,google
14,Miscellaneous-CDOT,W 56ST & S Lawndale-S Hamlin,2006,24612,W 56ST & S Lawndale,W 56ST & S Hamlin,41.7915169,-87.7157569,google,41.7914755,-87.7182217,google
14,Miscellaneous-CDOT,W 56 PL & S Lawndale-S Hamlin,2006,15576,W 56th PL & S Lawndale,W 56th PL & S Hamlin,41.7906075,-87.7157241,google,41.7905545,-87.7181858,google
14,Miscellaneous-CDOT,W 56 PL & S Central Park-S Lawndale,2006,20309,W 56th PL & S Central Park,W 56th PL & S Lawndale,41.7906468,-87.7134972,google,41.7906075,-87.7157241,google
14,Miscellaneous-CDOT,W 57ST & S Lawndale-S Hamlin,2006,10090,W 57ST & S Lawndale,W 57ST & S Hamlin,41.7896825,-87.7156958,google,41.7896455,-87.7181617,google
14,Miscellaneous-CDOT,W 57ST & S Central Park-S Lawndale,2006,8276,W 57ST & S Central Park,W 57ST & S Lawndale,41.7897356,-87.7134702,google,41.7896825,-87.7156958,google
14,Miscellaneous-CDOT,W 57ST & S Francisco-S Richmond,2006,7083,W 57ST & S Francisco,W 57ST & S Richmond,41.790003,-87.6961266,google,41.7899836,-87.697347,google
14,Miscellaneous-CDOT,W 57 PL & S StLouis-S Central Park,2006,4939,W 57th PL & S StLouis,W 57th PL & S Central Park,41.7888597,-87.7107772,google,41.7888238,-87.7134416,google
14,Miscellaneous-CDOT,W 57 PL & S Lawndale-S Hamlin,2006,46671,W 57th PL & S Lawndale,W 57th PL & S Hamlin,41.7887799,-87.7156728,google,41.7887335,-87.7181359,google
14,Miscellaneous-CDOT,W 57 PL & S Central Park-S Lawndale,2006,232,W 57th PL & S Central Park,W 57th PL & S Lawndale,41.7888238,-87.7134416,google,41.7887799,-87.7156728,google
14,Miscellaneous-CDOT,W 58ST & S Lawndale-S Hamlin,2006,18763,W 58ST & S Lawndale,W 58ST & S Hamlin,41.787872900000004,-87.7156492,google,41.7878232,-87.7181041,google
14,Miscellaneous-CDOT,W 58ST & S Central Park-S Lawndale,2006,8476,W 58ST & S Central Park,W 58ST & S Lawndale,41.7879133,-87.7134132,google,41.787872900000004,-87.7156492,google
14,Miscellaneous-CDOT,W 58 PL & S StLouis-S Central Park,2006,1480,W 58th PL & S StLouis,W 58th PL & S Central Park,41.787043,-87.7107157,google,41.7869996,-87.7133876,google
14,Miscellaneous-CDOT,W 58 PL & S Lawndale-S Hamlin,2006,7949,W 58th PL & S Lawndale,W 58th PL & S Hamlin,41.7869714,-87.7156306,google,41.7869148,-87.7180841,google
11,Miscellaneous-CDOT,WPA-33 rd & Racine to Throop,2006,40000,WPA & 33 rd,WPA & Racine to Throop,NA,NA,google,42.7261309,-87.7828523,google
