ward,type,location,year,est_cost,id,address,lat,long,query
10,Sidewalk Menu,10554 S AVENUE F,2020,4739.12,8368,10554 S AVENUE F,41.70432733200005,-87.52649467199996,census
10,Bollard Menu,10556 S AVENUE B,2008,1428,7804,10556 S AVENUE B,41.70432034600003,-87.52649479899998,census
34,Alley Apron Menu,10558 S PEORIA ST,2022,36512.5,30389,10558 S PEORIA ST,41.7016045,-87.6454334,google
29,Curb & Gutter Menu,1056 N MAYFIELD AVE,2019,6244.77,25383,1056 N MAYFIELD AVE,41.868110330000036,-87.77177331699994,census
27,Alley Resurfacing Menu,1057 N RIDGEWAY AVE,2015,44161,23690,1057 N RIDGEWAY AVE,41.900117572000056,-87.72011804299996,census
17,Miscellaneous CDOT Projects,1057 W 79TH ST,2022,150,15374,1057 W 79TH ST,41.750546437000025,-87.65024623499994,census
37,Sidewalk Menu,1058 N KEYSTONE AVE,2017,3941.2,32845,1058 N KEYSTONE AVE,41.90005625200007,-87.72745886999996,census
37,Sidewalk Menu,1058 N KEYSTONE AVE,2018,804.8,32893,1058 N KEYSTONE AVE,41.90005625200007,-87.72745886999996,census
21,Sidewalk Menu,1058 W 92ND PL,2021,6120.3,18397,1058 W 92ND PL,41.7262004,-87.6504533,google
29,Curb & Gutter Menu,1059 N MAYFIELD AVE,2019,5163.43666666667,25384,1059 N MAYFIELD AVE,41.9001081,-87.7725689,google
21,Sidewalk Menu,1059 W 92ND PL,2022,9522.48,18467,1059 W 92ND PL,41.7256919,-87.6504477,google
10,Sidewalk Menu,10600 S AVENUE G,2017,14938.86,8231,10600 S AVENUE G,41.70257264900005,-87.53166208099998,census
10,Sidewalk Menu,10609 S AVENUE G,2019,6579,8324,10609 S AVENUE G,41.702445741000076,-87.53164739599998,census
10,Sidewalk Menu,10613 S AVENUE D,2021,2981.27,8423,10613 S AVENUE D,41.70203759000003,-87.52816617299999,census
10,Sidewalk Menu,10614 S MACKINAW AVE,2018,2899,8276,10614 S MACKINAW AVE,41.70202385400006,-87.54256803599998,census
10,Sidewalk Menu,10614 S MACKINAW AVE,2018,9093,8291,10614 S MACKINAW AVE,41.70202385400006,-87.54256803599998,census
34,Curb & Gutter Menu,10614 S MARTIN ST,2021,4882.97,30343,10614 S MARTIN ST,41.700670126000034,-87.65599672199994,census
9,Traffic Signal Miscellaneous Menu,10616 S EDBROOKE AVE,2016,141,7135,10616 S EDBROOKE AVE,41.70172540300007,-87.61967879799994,census
9,Street Lighting,10618 S DAUPHIN AVE,2011,300,6963,10618 S DAUPHIN AVE,41.70120027100006,-87.60888813199995,census
10,Sidewalk Menu,10621 S MACKINAW AVE,2018,7715,8290,10621 S MACKINAW AVE,41.70195501000006,-87.54255334999993,census
10,Sidewalk Menu,10626 S AVENUE O,2021,2098.04,8424,10626 S AVENUE O,41.702068008000026,-87.54009892099998,census
10,Sidewalk Menu,10627 S AVENUE F,2017,3933.81,8233,10627 S AVENUE F,41.70216057600004,-87.53044142899995,census
34,Sidewalk Menu,10636 S PEORIA ST,2016,1582.375,30163,10636 S PEORIA ST,41.70072830000004,-87.64507711399995,census
9,Bollard Menu,10645 S INDIANA AV,2008,714,6846,10645 S INDIANA AV,41.70114248800007,-87.61846564199999,census
34,Sidewalk Menu,10656 S PEORIA ST,2016,1582.375,30163,10656 S PEORIA ST,41.700418187000025,-87.64506792499998,census
48,Sidewalk Menu,1066 W AINSLIE ST,2017,18748.49,41936,1066 W AINSLIE ST,41.9715498,-87.6569854,google
34,Sidewalk Menu,10700 S EMERALD AVE,2018,12562.83,30249,10700 S EMERALD AVE,41.6992471,-87.6417367,google
10,Sidewalk Menu,10700 S GREEN BAY AVE,2017,12768.17,8236,10700 S GREEN BAY AVE,41.700811886000054,-87.54134872299994,census
10,Sidewalk Menu,10701 S AVENUE M,2022,7906,8500,10701 S AVENUE M,41.70078781900003,-87.53768928699998,census
10,Sidewalk Menu,10718 S MACKINAW AVE,2018,5180.5,8278,10718 S MACKINAW AVE,41.70052817800007,-87.54256777799998,census
10,Sidewalk Menu,10721 S HOXIE AVE,2019,652,8341,10721 S HOXIE AVE,41.70050924700007,-87.56076641499999,census
10,Sidewalk Menu,10726 S AVENUE F,2019,9189,8327,10726 S AVENUE F,41.70034640400007,-87.53045680799994,census
10,Sidewalk Menu,10740 S AVENUE F,2022,2267.96,8501,10740 S AVENUE F,41.70012836500007,-87.53045760899994,census
9,Sidewalk Menu,10744 S EBERHART AVE,2022,6710.71,7317,10744 S EBERHART AVE,41.69906229700007,-87.61110433499994,census
10,Sidewalk Menu,10749 S AVENUE H,2022,1577.48,8502,10749 S AVENUE H,41.70001590100003,-87.53285542999998,census
10,Sidewalk Menu,10751 S AVENUE G,2020,5888.61,8370,10751 S AVENUE G,41.69996025800003,-87.53164739599998,census
10,Sidewalk Menu,10755 S AVENUE F,2016,6462.19,8189,10755 S AVENUE F,41.69991029700003,-87.53044372599999,census
34,Sidewalk Menu,10756 S LOWE AVE,2017,1381.86,30212,10756 S LOWE AVE,41.698449270000026,-87.63893588299999,census
34,Sidewalk Menu,10756 S LOWE AVE,2018,15056.86,30246,10756 S LOWE AVE,41.698449270000026,-87.63893588299999,census
10,Sidewalk Menu,10757 S GREEN BAY AVE,2021,4323.52,8425,10757 S GREEN BAY AVE,41.69993950800006,-87.54133532399999,census
6,Street Light Upgrade Menu,108 E 83RD ST,2019,500,4947,108 E 83RD ST,41.74371695200006,-87.62094337599996,census
2,Street Light Residential Staggered Piggy Back Menu,108 W GERMANIA PL,2019,12052.76,2369,108 W GERMANIA PL,41.91043476800007,-87.63175548299995,census
34,Guardrail Menu,10800 S EGGLESTON AV,2008,800,29673,10800 S EGGLESTON AV,41.69777615000004,-87.63411214499996,census
10,Street Lighting,10800 S HOXIE AVE,2011,3500,7941,10800 S HOXIE AVE,41.699077060000036,-87.56076097499994,census
10,Sidewalk Menu,10800 S TORRENCE AVE,2021,1455.29666666667,8426,10800 S TORRENCE AVE,41.699047472000075,-87.55955447099996,census
9,High Definition Camera,10800 S. Langley,2013,22500,7033,10800 S. Langley,41.6973572,-87.6059593,google
10,Sidewalk Menu,10801 S MACKINAW AVE,2019,12530,8336,10801 S MACKINAW AVE,41.69899462800004,-87.54255334999993,census
10,POD Camera,10801 S. Hoxie,2010,1800,7937,10801 S. Hoxie,41.69907717700005,-87.56074629099999,census
10,Sidewalk Menu,10810 S AVENUE N,2019,4094,8325,10810 S AVENUE N,41.6986874,-87.5392041,google
10,Bollard Menu,10810 S BUFFALO AV,2007,4284,7702,10810 S BUFFALO AV,41.698836190000065,-87.54377802099998,census
10,Sidewalk Menu,10823 S AVENUE O,2021,4808.5,8427,10823 S AVENUE O,41.698646910000036,-87.54007664499994,census
