ward,type,location,year,est_cost,id,intersection_1,intersection_2,lat_1,lon_1,query_1,lat_2,lon_2,query_2
7,Sidewalk Menu,S PHILLIPS AVE & E 79 ST (7900 S) & E 81 ST (8100 S),2011,14635,5385,7900 S PHILLIPS AVE,8100 S PHILLIPS AVE,41.7514578,-87.5653372,google,41.7479945,-87.5652678,google
6,Sidewalk Menu,S PRAIRIE AVE & E 80 ST (8000 S) & E 81 ST (8100 S),2011,9537,4777,8000 S PRAIRIE AVE,8100 S PRAIRIE AVE,41.749094,-87.6185801,google,41.7474003,-87.6180555,google
18,Sidewalk Menu,S SACRAMENTO AVE & W 80 ST (8000 S) & W 81 ST (8100 S),2011,37624,15797,8000 S SACRAMENTO AVE,8100 S SACRAMENTO AVE,41.7479038,-87.6977272,google,41.7460772,-87.6977272,google
18,Sidewalk Menu,S TALMAN AVE & W 81 PL (8132 S) & W 81 ST (8100 S),2011,23476,15804,8132 S TALMAN AVE,8100 S TALMAN AVE,41.7453728,-87.6891393,google,41.7462298,-87.6891778,google
8,Street Lighting,S UNIVERSITY AVE & E 80 ST (8000 S) & E 81 ST (8100 S),2011,8400,6142,8000 S UNIVERSITY AVE,8100 S UNIVERSITY AVE,41.7494277,-87.5966535,google,41.747731,-87.5966246,google
18,Street Speed Hump Menu,S SPRINGFIELD AVE & W 81 ST (8100 S) & W 81 PL (8132 S),2011,1850,15826,8100 S SPRINGFIELD AVE,8132 S SPRINGFIELD AVE,41.7453118,-87.7194923,google,41.7449285,-87.7194854,google
6,Sidewalk Menu,DR MARTIN LUTHER KING JR DR & E 81 ST (8100 S) & E 82 ST (8200 S),2011,6555,4776,8100 DR MARTIN LUTHER KING JR DR,8200 DR MARTIN LUTHER KING JR DR,41.7472954,-87.6151876,google,41.7454848,-87.6152341,google
8,Curb/Gutter Menu,S BLACKSTONE AVE & E 81 ST (8100 S) & E 82 ST (8200 S),2011,3017,6150,8100 S BLACKSTONE AVE,8200 S BLACKSTONE AVE,41.7476604,-87.5885411,google,41.7458249,-87.5884496,google
8,Street Lighting,S EUCLID AVE & E 79 ST (7900 S) & E 82 ST (8200 S),2011,204750,6148,7900 S EUCLID AVE,8200 S EUCLID AVE,41.7515934,-87.5771976,google,41.7461263,-87.5770929,google
18,Street Resurface Menu(1-5),S FAIRFIELD AVE & W 81 ST (8100 S) & W 82 ST (8200 S),2011,39114,15820,8100 S FAIRFIELD AVE,8200 S FAIRFIELD AVE,41.746198,-87.6916533,google,41.7443605,-87.6915668,google
