ward,year,off_menu,on_menu,beauty,not_beauty
2,2005,150000,1049998,NA,1199998
2,2006,461665,978220,NA,1439885
2,2007,321309,1114010,NA,1435319
2,2008,465007,974993,NA,1440000
2,2009,300537,1019463,NA,1320000
2,2010,441024,878974,NA,1319998
2,2011,276084,1036823,11860,1301047
2,2012,157050,1162346,NA,1319396
2,2013,189660,1130340,NA,1320000
2,2014,96772,1215732,NA,1312504
2,2015,1550,1318450,NA,1320000
2,2016,5900,1314099.95,NA,1319999.95
2,2017,30336.21,1289663.76,106177.74,1213822.23
2,2018,15764.68,1304235.31,NA,1319999.99
2,2019,113000,1206999.99,113000,1206999.99
2,2020,238942,1079159.82,542000,776101.8200000001
2,2021,266674.48,1233325.51,197305.52,1302694.47
2,2022,238942,1079159.82,542000,776101.8200000001
20,2005,0,1152328,NA,1152328
20,2006,0,1431953,NA,1431953
20,2007,6484,1312051,NA,1318535
20,2008,140604,1179396,NA,1320000
20,2009,1071,1318927,NA,1319998
20,2010,16349,1303650,NA,1319999
20,2011,856,1182645,NA,1183501
20,2012,193,1319395,NA,1319588
20,2013,0,1318724,NA,1318724
20,2014,40477,1278333,NA,1318810
20,2015,12492,1307508,NA,1320000
20,2016,55550,1264449.99,NA,1319999.99
20,2017,138000,1181999.99,138000,1181999.99
20,2018,0,1317368.39,NA,1317368.39
20,2019,0,1319999.99,NA,1319999.99
20,2020,0,1315320.43,NA,1315320.43
20,2021,1050,1498949.99,167925.02,1332074.97
20,2022,0,1315320.43,NA,1315320.43
21,2005,10253,1189387,NA,1199640
21,2006,24601,1295138,NA,1319739
21,2007,1000,1318516,NA,1319516
21,2008,488,1439512,NA,1440000
21,2009,138,1319862,NA,1320000
21,2010,9870,1310128,NA,1319998
21,2011,119,1319617,NA,1319736
21,2012,0,1320001,NA,1320001
21,2013,0,1319383,NA,1319383
21,2014,0,1320000,NA,1320000
21,2015,0,1318365,NA,1318365
21,2016,0,1319999.99,NA,1319999.99
21,2017,10000,1309999.99,10000,1309999.99
21,2018,0,1319999.99,NA,1319999.99
21,2019,1500,1304941.49,NA,1306441.49
21,2020,0,1188413.95,NA,1188413.95
21,2021,660,1499339.99,NA,1499999.99
21,2022,0,1188413.95,NA,1188413.95
22,2005,66800,379250,NA,446050
22,2006,0,50000,NA,50000
22,2007,11150,1206651,NA,1217801
22,2008,709626,610374,NA,1320000
22,2009,991074,327900,NA,1318974
22,2010,30000,1289668,30000,1289668
22,2011,100000,1219965,100000,1219965
22,2012,150000,1169592,3500,1316092
22,2013,0,1320000,NA,1320000
22,2014,460700,858757,375000,944457
22,2015,149000,1171003,99000,1221003
22,2016,241252.84,1078747.15,238415,1081584.99
22,2017,135634,1184365.99,135000,1184999.99
22,2018,140000,1179999.99,NA,1319999.99
22,2019,66031.45,1253968.54,40000,1279999.99
22,2020,1368.55,1261128.89,NA,1262497.44
22,2021,88542.56,1411457.43,63722.52,1436277.47
22,2022,1368.55,1261128.89,NA,1262497.44
23,2005,201261,998739,NA,1200000
23,2006,598691,721310,200000,1120001
23,2007,409918,1030046,209300,1230664
23,2008,127581,1312420,NA,1440001
23,2009,300027,1019971,300000,1019998
23,2010,300004,1020000,300000,1020004
23,2011,400011,919977,400000,919988
23,2012,260925,1059076,255000,1065001
23,2013,356012,963988,354112,965888
23,2014,44352,1275305,NA,1319657
23,2015,325688,994315,195888,1124115
23,2016,63949.03,1256050.55,NA,1319999.58
23,2017,0,1319999.99,NA,1319999.99
23,2018,161000,1158999.99,161000,1158999.99
23,2019,900,1319099.99,NA,1319999.99
23,2020,0,1319791.65,NA,1319791.65
23,2021,200000,1299999.99,104750,1395249.99
23,2022,0,1319791.65,NA,1319791.65
24,2005,97650,1222328,NA,1319978
24,2006,19750,1420246,NA,1439996
24,2007,31850,1407389,NA,1439239
24,2008,15000,1425000,NA,1440000
24,2009,58650,1261350,NA,1320000
24,2010,800,1319200,NA,1320000
24,2011,3749,1316249,NA,1319998
24,2012,539,1319462,NA,1320001
24,2013,0,1319998,3500,1316498
24,2014,0,1319990,NA,1319990
24,2015,0,1305000,NA,1305000
24,2016,264257,1055742.95,264257,1055742.95
24,2017,47053.06,1272946.93,30743,1289256.99
24,2018,75000,1244999.99,75000,1244999.99
24,2019,125500,1194499.99,125000,1194999.99
24,2020,0,837174.1,51800,785374.1
24,2021,1320,1498679.99,NA,1499999.99
24,2022,0,837174.1,51800,785374.1
