"ward","type","location","year","est_cost","id","intersection_1","intersection_2","intersection_3","intersection_4"
9,"Alley Speed Hump Menu","E 125 PL & E 126 ST & S WENTWORTH AV & S YALE AV",2005,1750,6675,"S WENTWORTH AV & E 125th PL","S YALE AV & E 125th PL","S WENTWORTH AV & E 126th ST","S YALE AV & E 126th ST"
9,"Alley Speed Hump Menu","E 107 ST & E 108 ST & S CALUMET AV & DR. MARTIN LUTHER KING JR. DR",2005,3500,6676,"S CALUMET AV & E 107th ST","S CALUMET AV & E 108th ST","NA","NA"
9,"Alley Speed Hump Menu","S VERNON AV & S EBERHART AV & E 111 ST & E 113 ST",2005,2625,6677,"S VERNON AV & E 111th ST","S EBERHART AV & E 111th ST","S VERNON AV & E 113th ST","S EBERHART AV & E 113th ST"
9,"Alley Speed Hump Menu","E 127 ST & E 127 PL & S PARNELL AV & S EGGLESTON AV",2005,1750,6678,"S PARNELL AV & E 127th ST","S EGGLESTON AV & E 127th ST","S PARNELL AV & E 127th PL","S EGGLESTON AV & E 127th PL"
9,"Alley Speed Hump Menu","W 100 ST & W 100 PL & S EGGLESTON AV & S NORMAL",2005,3500,6679,"S EGGLESTON AV & W 100th ST","S NORMAL & W 100th ST","S EGGLESTON AV & W 100th PL","S NORMAL & W 100th PL"
9,"Alley Speed Hump Menu","E 104 PL & E 105 ST & S RHODES AV & S DAUPHIN AV",2005,3500,6680,"S RHODES AV & E 104th PL","S DAUPHIN AV & E 104th PL","S RHODES AV & E 105th ST","S DAUPHIN AV & E 105th ST"
9,"Alley Speed Hump Menu","E 107 ST & E 108 ST & DR. MARTIN LUTHER KING JR. DR & S VERNON AV",2005,3500,6681,"S VERNON AV & E 107th ST","S VERNON AV & E 108th ST","NA","NA"
9,"Alley Speed Hump Menu","E 20 ST & E 21 ST & S EDBROOKE AV & S INDIANA AV",2005,875,6682,"S EDBROOKE AV & E 20th ST","S INDIANA AV & E 20th ST","S EDBROOKE AV & E 21st ST","S INDIANA AV & E 21st ST"
9,"Alley Speed Hump Menu","E 121 ST & E 122 ST & S MICHIGAN AV & S INDIANA AV",2005,1750,6683,"S MICHIGAN AV & E 121st ST","S INDIANA AV & E 121st ST","S MICHIGAN AV & E 122nd ST","S INDIANA AV & E 122nd ST"
9,"Alley Speed Hump Menu","E 122 ST & E 123 ST & S LA SALLE ST & S WENTWORTH AV",2005,1750,6684,"S LA SALLE ST & E 122nd ST","S WENTWORTH AV & E 122nd ST","S LA SALLE ST & E 123rd ST","S WENTWORTH AV & E 123rd ST"
9,"Alley Speed Hump Menu","E 123 ST & E 124 ST & S LA SALLE ST & S PERRY AV",2005,3500,6685,"S LA SALLE ST & E 123rd ST","S PERRY AV & E 123rd ST","S LA SALLE ST & E 124th ST","S PERRY AV & E 124th ST"
9,"Alley Speed Hump Menu","E 92 ST & E 93 ST & S BURNSIDE AV & S VERNON AV",2005,2625,6686,"S BURNSIDE AV & E 92nd ST","S VERNON AV & E 92nd ST","S BURNSIDE AV & E 93rd ST","S VERNON AV & E 93rd ST"
9,"Alley Speed Hump Menu","E 17 ST & E 17 PL & S PRAIRIE AV & S FRONT AV",2005,875,6687,"S PRAIRIE AV & E 17th ST","S FRONT AV & E 17th ST","S PRAIRIE AV & E 17th PL","S FRONT AV & E 17th PL"
9,"Alley Speed Hump Menu","E 135 PL & E 136 ST & S INDIANA AV & S FOREST AV",2005,3500,6688,"S INDIANA AV & E 135th PL","S FOREST AV & E 135th PL","S INDIANA AV & E 136th ST","S FOREST AV & E 136th ST"
9,"Alley Speed Hump Menu","E 103 ST & E 104 ST & S CALUMET AV & S FOREST AV",2005,3500,6689,"S CALUMET AV & E 103rd ST","S FOREST AV & E 103rd ST","S CALUMET AV & E 104th ST","S FOREST AV & E 104th ST"
9,"Alley Speed Hump Menu","E 103 ST & E 104 ST & S CALUMET AV & DR. MARTIN LUTHER KING JR. DR",2005,2625,6690,"S CALUMET AV & E 103rd ST","S CALUMET AV & E 104th ST","NA","NA"
9,"Alley Speed Hump Menu","E 102 ST & S VERNON AV & S EBERHART AV & E 103 ST",2005,3500,6691,"S VERNON AV & E 102nd ST","S EBERHART AV & E 102nd ST","S VERNON AV & E 103rd ST","S EBERHART AV & E 103rd ST"
9,"Alley Speed Hump Menu","E 126 ST & E 127 ST & S WENTWORTH AV & S YALE AV",2005,1750,6692,"S WENTWORTH AV & E 126th ST","S YALE AV & E 126th ST","S WENTWORTH AV & E 127th ST","S YALE AV & E 127th ST"
9,"Alley Speed Hump Menu","E 128 PL & E 129 ST & S LOWE AV & S UNION AV",2005,3500,6693,"S LOWE AV & E 128th PL","S UNION AV & E 128th PL","S LOWE AV & E 129th ST","S UNION AV & E 129th ST"
9,"Alley Speed Hump Menu","E 127 ST & E 128 ST & S LOWE AV & S WALLACE ST",2005,3500,6694,"S LOWE AV & E 127th ST","S WALLACE ST & E 127th ST","S LOWE AV & E 128th ST","S WALLACE ST & E 128th ST"
9,"Alley Speed Hump Menu","E 118 PL & E 119 ST & S STATE ST & S MICHIGAN AV",2005,4375,6695,"S STATE ST & E 118th PL","S MICHIGAN AV & E 118th PL","S STATE ST & E 119th ST","S MICHIGAN AV & E 119th ST"
9,"Alley Speed Hump Menu","E 107 ST & E 108 ST & S MICHIGAN AV & S EDBROOKE AV",2005,2625,6696,"S MICHIGAN AV & E 107th ST","S EDBROOKE AV & E 107th ST","S MICHIGAN AV & E 108th ST","S EDBROOKE AV & E 108th ST"
9,"Alley Speed Hump Menu","W 102 ST & W 103 ST & S PERRY AV & S LAFAYETTE AV",2005,3500,6697,"S PERRY AV & W 102nd ST","S LAFAYETTE AV & W 102nd ST","S PERRY AV & W 103rd ST","S LAFAYETTE AV & W 103rd ST"
9,"Alley Speed Hump Menu","E 136 PL & E 137 ST & S INDIANA AV & DEAD END",2005,2625,6698,"S INDIANA AV & E 136th PL","S INDIANA AV & E 137th ST","NA","NA"
9,"Alley Speed Hump Menu","E 105 PL & E 106 ST & S RHODES AV & S DAUPHIN AV",2005,2625,6699,"S RHODES AV & E 105th PL","S DAUPHIN AV & E 105th PL","S RHODES AV & E 106th ST","S DAUPHIN AV & E 106th ST"
9,"Alley Speed Hump Menu","E 104 ST & E 104 PL & S RHODES AV & S DAUPHIN AV",2005,3500,6700,"S RHODES AV & E 104th ST","S DAUPHIN AV & E 104th ST","S RHODES AV & E 104th PL","S DAUPHIN AV & E 104th PL"
9,"Alley Speed Hump Menu","E 113 ST & E 114 ST & DR. MARTIN LUTHER KING JR. DR & S FRONT AV",2005,3500,6701,"S FRONT AV & E 113th ST","S FRONT AV & E 114th ST","NA","NA"
9,"Alley Speed Hump Menu","E 123 ST & E 124 ST & S LA SALLE ST & S WENTWORTH AV",2005,1750,6702,"S LA SALLE ST & E 123rd ST","S WENTWORTH AV & E 123rd ST","S LA SALLE ST & E 124th ST","S WENTWORTH AV & E 124th ST"
9,"Alley Speed Hump Menu","E 126 ST & E 127 ST & S WALLACE ST & S EGGLESTON AV",2005,5250,6703,"S WALLACE ST & E 126th ST","S EGGLESTON AV & E 126th ST","S WALLACE ST & E 127th ST","S EGGLESTON AV & E 127th ST"
9,"Alley Speed Hump Menu","E 109 ST & E 111 ST & S EBERHART AV & S DAUPHIN AV",2005,5250,6704,"S EBERHART AV & E 109th ST","S DAUPHIN AV & E 109th ST","S EBERHART AV & E 111th ST","S DAUPHIN AV & E 111th ST"
9,"Alley Speed Hump Menu","E 93 ST & E 94 ST & S LYON AV & S EVANS AV",2005,2625,6705,"S LYON AV & E 93rd ST","S EVANS AV & E 93rd ST","S LYON AV & E 94th ST","S EVANS AV & E 94th ST"
9,"Alley Speed Hump Menu","E 101 ST & E 102 ST & S PARNELL AV & S NORMAL",2005,3500,6706,"S PARNELL AV & E 101st ST","S NORMAL & E 101st ST","S PARNELL AV & E 102nd ST","S NORMAL & E 102nd ST"
9,"Alley Speed Hump Menu","E 120 ST & E 121 ST & S STATE ST & S MICHIGAN AV",2005,2625,6707,"S STATE ST & E 120th ST","S MICHIGAN AV & E 120th ST","S STATE ST & E 121st ST","S MICHIGAN AV & E 121st ST"
9,"Alley Speed Hump Menu","E 125 PL & E 126 ST & S EGGLESTON AV & S STEWART AV",2005,1750,6708,"S EGGLESTON AV & E 125th PL","S STEWART AV & E 125th PL","S EGGLESTON AV & E 126th ST","S STEWART AV & E 126th ST"
9,"Alley Speed Hump Menu","S MICHIGAN AV & S INDIANA AV & E 103 ST & E 103 PL",2005,3500,6709,"S MICHIGAN AV & E 103rd ST","S INDIANA AV & E 103rd ST","S MICHIGAN AV & E 103rd PL","S INDIANA AV & E 103rd PL"
9,"Alley Speed Hump Menu","E 114 ST & E 114 PL & S FORRESTVILLE AV & S COTTAGE GROVE AV",2005,1750,6710,"S FORRESTVILLE AV & E 114th ST","S COTTAGE GROVE AV & E 114th ST","S FORRESTVILLE AV & E 114th PL","S COTTAGE GROVE AV & E 114th PL"
9,"Alley Speed Hump Menu","E 125 PL & E 126 PL & S MICHIGAN AV & S EDBROOKE AV",2005,1750,6711,"S MICHIGAN AV & E 125th PL","S EDBROOKE AV & E 125th PL","S MICHIGAN AV & E 126th PL","S EDBROOKE AV & E 126th PL"
9,"Alley Speed Hump Menu","E 105 ST & E 106 ST & S VERNON AV & S EBERHART AV",2005,1750,6712,"S VERNON AV & E 105th ST","S EBERHART AV & E 105th ST","S VERNON AV & E 106th ST","S EBERHART AV & E 106th ST"
