"ward","type","location","year","est_cost","id","intersection_1","intersection_2"
14,"Miscellaneous-CDOT","W 42 ST & S Mozart - S Francisco",2006,13124,11800,"W 42nd ST & S Mozart ","W 42nd ST & S Francisco"
14,"Miscellaneous-CDOT","S Mozart & S Archer - W 42 ST",2006,10738,11801,"S Mozart & S Archer ","S Mozart & W 42nd ST"
14,"Miscellaneous-CDOT","S Mozart & W 44 ST - W 45 St",2006,17794,11802,"S Mozart & W 44th ST ","S Mozart & W 45 St"
14,"Miscellaneous-CDOT","S Mozart & W 45 St - W 46 St",2006,13593,11803,"S Mozart & W 45 St ","S Mozart & W 46 St"
14,"Miscellaneous-CDOT","S Mozart & W 46 ST - W 47 St",2006,18322,11804,"S Mozart & W 46th ST ","S Mozart & W 47 St"
14,"Miscellaneous-CDOT","S Francisco & W 45 ST - W 46 ST",2006,1358,11805,"S Francisco & W 45th ST ","S Francisco & W 46th ST"
14,"Miscellaneous-CDOT","S Francisco & S Archer - W 42 St",2006,3653,11806,"S Francisco & S Archer ","S Francisco & W 42 St"
14,"Miscellaneous-CDOT","S Richmond & W 44 St - W 43 St",2006,1463,11807,"S Richmond & W 44 St ","S Richmond & W 43 St"
14,"Miscellaneous-CDOT","S Richmond & W 44 St - W 45 St",2006,1147,11808,"S Richmond & W 44 St ","S Richmond & W 45 St"
14,"Miscellaneous-CDOT","S Richmond & W 45 St - W 46 St",2006,16185,11809,"S Richmond & W 45 St ","S Richmond & W 46 St"
14,"Miscellaneous-CDOT","S Richmond & W 46 ST - W 47 ST",2006,2095,11810,"S Richmond & W 46th ST ","S Richmond & W 47th ST"
14,"Miscellaneous-CDOT","S Sacramento & W 46 ST - W 47 ST",2006,1086,11811,"S Sacramento & W 46th ST ","S Sacramento & W 47th ST"
14,"Miscellaneous-CDOT","S Sacramento & W 45 ST - W 46 ST",2006,11603,11812,"S Sacramento & W 45th ST ","S Sacramento & W 46th ST"
14,"Miscellaneous-CDOT","S Sacramento & W 44 ST - W 43 ST",2006,11187,11813,"S Sacramento & W 44th ST ","S Sacramento & W 43rd ST"
14,"Miscellaneous-CDOT","S Sacramento & S Archer - W 43 ST",2006,8554,11814,"S Sacramento & S Archer ","S Sacramento & W 43rd ST"
14,"Miscellaneous-CDOT","S Whipple & W 43 ST - W 44 ST",2006,1484,11815,"S Whipple & W 43rd ST ","S Whipple & W 44th ST"
16,"POD Camera","49 th Pl & Throop - 1 Option II",2009,25000,14111,"49 th Pl & Throop ","49 th Pl & 1 Option II"
22,"Chicago Park District","Piotrowski Park - drinking fountain & lighting",2010,30000,18658,"Piotrowski Park & drinking fountain","Piotrowski Park & lighting"
23,"Miscellaneous-CDOT","Diagonal Parking-Archer & Kolin",2006,25000,19282,"Diagonal Parking & Archer","Diagonal Parking & Kolin"
26,"POD Camera","Drake & Wabansia - SW corner",2009,37000,22530,"Drake & Wabansia ","Drake & SW corner"
27,"POD Camera","Albany & Walnut - TPC = $20 ,000 (2010 ,2009 ,2008 )",2008,132,23418,"Albany & Walnut ","Albany & TPC = $20 ,000 (2010 ,2009 ,2008 )"
27,"POD Camera","Albany & Walnut - TPC = $20 ,000 (2010 , 2009 , 2008 menu)",2009,413,23466,"Albany & Walnut ","Albany & TPC = $20 ,000 (2010 , 2009 , 2008 menu)"
27,"POD Camera","Albany & Walnut - TPC = $20 ,000 (2009 , 2008 menu)",2010,19455,23514,"Albany & Walnut ","Albany & TPC = $20 ,000 (2009 , 2008 menu)"
32,"Miscellaneous-CDOT","Augusta & Hoyne - Markings",2008,2000,28006,"Augusta & Hoyne ","Augusta & Markings"
41,"Miscellaneous Other","LeHigh & Hiawatha - underpass",2013,3000,35906,"LeHigh & Hiawatha ","LeHigh & underpass"
42,"Miscellaneous-CDOT","Erie & Kingsbury-street markings",2007,7500,36425,"Erie & Kingsbury","Erie & street markings"
43,"Miscellaneous-CDOT","Pocket Plaza & Wells-Menomonee",2005,156107,37103,"Pocket Plaza & Wells","Pocket Plaza & Menomonee"
43,"Miscellaneous-CDOT","Pocket Plaza & Wells-Menomonee",2006,400036,37170,"Pocket Plaza & Wells","Pocket Plaza & Menomonee"
43,"Chicago Park District","Goudy Park -Astor & Schiller",2011,2e+05,37496,"Goudy Park & Astor","Goudy Park & Schiller"
43,"School Projects","Alcott School - outdoor amphitheatre & play lot",2013,20000,37678,"Alcott School & outdoor amphitheatre","Alcott School & play lot"
45,"Chicago Park District","Our Lady of Victory & St Johns Food PantryGarden - rain barrels. planting",2013,2500,39324,"Our Lady of Victory & St Johns Food PantryGarden ","Our Lady of Victory & rain barrels. planting"
47,"Miscellaneous-Other","North Center Senior Campus-Irving & Oakley",2005,50000,40375,"North Center Senior Campus & Irving","North Center Senior Campus & Oakley"
47,"Miscellaneous-Other","North Center Senior Campus- Irving Park Rd & Oakley",2008,20000,40556,"North Center Senior Campus & Irving Park Rd","North Center Senior Campus & Oakley"
48,"Chicago Park District","Lincoln Park Walking Path - W. of LSD & E. of Sheridan",2012,20000,41697,"Lincoln Park Walking Path & W. of LSD","Lincoln Park Walking Path & E. of Sheridan"
