ward,type,location,year,est_cost,id,point_location
50,Chicago Park District,Thillens Stadium,2009,250000,39855,Thillens Stadium
3,Alley Resurfacing Menu,2036,2020,10976.615,40343,2036
10,POD Camera,104 th Ave 'M',2007,36000,40648,104 th Ave 'M'
11,Street Traffic Circle Menu,W 30TH,2021,15746.2857142857,40813,W 30TH
12,POD Camera,3825 California,2008,15000,40838,3825 California
12,POD Camera,4200 California,2008,15000,40839,4200 California
12,POD Camera,4500 Talman,2008,15000,40840,4500 Talman
13,POD Camera,6340 Cicero,2007,24000,40910,6340 Cicero
28,Street Light Residential Staggered Piggy Back Menu,AVE (250 N),2021,41570.75,42016,AVE (250 N)
28,Street Light Residential Staggered Piggy Back Menu,ON & N KILDARE AVE FROM W,2021,41570.75,42022,ON & N KILDARE AVE FROM W
30,Curb & Gutter Menu,MELROSE ST 5531 W PARKER AVE,2022,3452.64,42263,MELROSE ST 5531 W PARKER AVE
32,Chicago Park District,Supera,2007,98750,42406,Supera
40,Viaduct Improvement Menu,W,2022,5516.764,42939,W
42,W. OHIO; FRANKLIN & CHICAGO MONTGOMERY WARD PARK,ST,2018,36014.6666666667,42966,ST
45,Alley Resurfacing Menu,W GOODMAN ST,2019,5412.52333333333,43279,W GOODMAN ST
48,3 LPR Existing POD; 3 LPR w.o Existing POD; 1 POD Camera: Various Locations,W,2021,19988.4285714286,43483,W
1,Miscellaneous-CDOT,W Diversey Ave & W Logan Blvd,2005,25100,22,W Diversey Ave & W Logan Blvd
1,Pole Painting,MILWAUKEE AVE & DAMEN TO WESTERN,2005,5880,75,MILWAUKEE AVE & DAMEN TO WESTERN
1,Pole Painting,MILWAUKEE AVE & DAMEN TO WESTERN,2005,7600,76,MILWAUKEE AVE & DAMEN TO WESTERN
1,Street Lighting,MILWAUKEE AVE & DAMEN TO WESTERN,2005,51300,85,MILWAUKEE AVE & DAMEN TO WESTERN
1,Chicago Park District,W Wabansia Ave & N Leavitt St,2005,90000,92,W Wabansia Ave & N Leavitt St
1,Street Lighting,W POTOMAC AV & E SCHILLER ST,2006,10800,170,W POTOMAC AV & E SCHILLER ST
1,POD Camera,N Stave St & W Francis Pl,2006,36000,182,N Stave St & W Francis Pl
1,Traffic Signals,N WOLCOTT AV & W CHICAGO AV,2007,300000,223,N WOLCOTT AV & W CHICAGO AV
1,Miscellaneous-CDOT,Chicago Ave & Hoyne Ave,2008,875,255,Chicago Ave & Hoyne Ave
1,Miscellaneous-CDOT,Fairfield & Wellington,2008,12553,256,Fairfield & Wellington
1,Miscellaneous-CDOT,W Hoyne Ave & W Chicago Ave,2008,28000,257,W Hoyne Ave & W Chicago Ave
1,Traffic Signals,W CHICAGO AV & N WOLCOTT AV,2008,32000,301,W CHICAGO AV & N WOLCOTT AV
1,Traffic Signals,N WESTERN AV & W WABANSIA AV,2008,150000,302,N WESTERN AV & W WABANSIA AV
1,Miscellaneous-CDOT,Chicago Ave & Hoyne Ave,2009,9650,330,Chicago Ave & Hoyne Ave
