ward,type,location,year,est_cost,id,point_location
47,POD CAMERA - CLARK PARK,3400 N ROCKWELL ST,2018,27011,38095,3400 N ROCKWELL ST
47,Sidewalk Menu,4454 N WESTERN AVE,2018,14114.29,38096,4454 N WESTERN AVE
47,Sidewalk Menu,4030 N OAKLEY AVE,2018,562.61,38097,4030 N OAKLEY AVE
47,Sidewalk Menu,1971 W LELAND AVE,2018,1211.59,38098,1971 W LELAND AVE
47,Sidewalk Menu,1840 W CUYLER AVE,2018,4275.18,38099,1840 W CUYLER AVE
47,Sidewalk Menu,2419 W BELLE PLAINE AVE,2018,3474.75,38100,2419 W BELLE PLAINE AVE
47,Sidewalk Menu,2647 W WILSON AVE,2018,14892.86,38101,2647 W WILSON AVE
47,Sidewalk Menu,1820 W MONTROSE AVE,2018,2204.17,38102,1820 W MONTROSE AVE
47,Alley Apron Menu,2415 W PENSACOLA AVE,2019,13495.02,38110,2415 W PENSACOLA AVE
47,Alley Apron Menu,4729 N WINCHESTER AVE,2019,14207.27,38111,4729 N WINCHESTER AVE
47,Alley Resurfacing Menu,1757 W BELLE PLAINE AVE,2019,11004.12,38116,1757 W BELLE PLAINE AVE
47,Horner Park Dog Park Improvements,2741 W MONTROSE AVE,2019,15000,38118,2741 W MONTROSE AVE
47,Levy Senior Center Mural,2019 W LAWRENCE AVE,2019,60000,38119,2019 W LAWRENCE AVE
47,Sidewalk Menu,1749 W BELLE PLAINE AVE,2019,936.37,38125,1749 W BELLE PLAINE AVE
47,Sidewalk Menu,1846 W MELROSE ST,2019,1114.71,38126,1846 W MELROSE ST
47,Sidewalk Menu,2507 W CULLOM AVE,2019,4591.8,38127,2507 W CULLOM AVE
47,Street Bump Outs Menu,4544 N LINCOLN AVE,2019,40000,38129,4544 N LINCOLN AVE
47,Alley Apron Menu,2416 W PENSACOLA AVE,2020,25999.11,38141,2416 W PENSACOLA AVE
47,Alley Apron Menu,2507 W SUNNYSIDE AVE,2020,29020.63,38142,2507 W SUNNYSIDE AVE
47,Alley Apron Menu,3941 N OAKLEY AVE,2020,27777.82,38144,3941 N OAKLEY AVE
47,Curb & Gutter Menu,1952 W WILSON AVE,2020,16766.91,38148,1952 W WILSON AVE
47,Curb & Gutter Menu,2559 W MONTROSE AVE,2020,5579.49,38149,2559 W MONTROSE AVE
47,Curb & Gutter Menu,1518 W WILSON AVE,2020,38531.1,38150,1518 W WILSON AVE
47,Curb & Gutter Menu,3638 N LEAVITT ST,2020,5588.54,38151,3638 N LEAVITT ST
47,Curb & Gutter Menu,1742 W WILSON AVE,2020,51500,38152,1742 W WILSON AVE
47,Curb & Gutter Menu,1831 W CUYLER AVE,2020,6317.21,38153,1831 W CUYLER AVE
47,Curb & Gutter Menu,4226 N CLARK ST,2020,34569.83,38154,4226 N CLARK ST
47,Curb & Gutter Menu,4407 N DAMEN AVE,2020,6912.59,38155,4407 N DAMEN AVE
47,Curb & Gutter Menu,3547 N WOLCOTT AVE,2020,9170.1,38156,3547 N WOLCOTT AVE
47,Sidewalk Menu,4108 N HERMITAGE AVE,2020,13087.06,38166,4108 N HERMITAGE AVE
47,Sidewalk Menu,2416 W WARNER AVE,2020,11149.68,38167,2416 W WARNER AVE
47,Sidewalk Menu,4709 N DAMEN AVE,2020,8887.84,38168,4709 N DAMEN AVE
47,Sidewalk Menu,2150 W ADDISON ST,2020,6614.57,38172,2150 W ADDISON ST
47,Sidewalk Menu,3522 N LEAVITT ST,2020,7999.69,38173,3522 N LEAVITT ST
47,Sidewalk Menu,3901 N HAMILTON AVE,2020,6679.49,38174,3901 N HAMILTON AVE
47,Sidewalk Menu,4516 N CAMPBELL AVE,2020,3402.85,38177,4516 N CAMPBELL AVE
47,Sidewalk Menu,4654 N DAMEN AVE,2020,13131.98,38178,4654 N DAMEN AVE
47,Sidewalk Menu,4435 N DAMEN AVE,2020,19031.98,38179,4435 N DAMEN AVE
47,Sidewalk Menu,4810 N HOYNE AVE,2020,24743.91,38181,4810 N HOYNE AVE
47,Sidewalk Menu,1815 W BERTEAU AVE,2020,6521.31,38182,1815 W BERTEAU AVE
47,Alley Apron Menu,1913 W AINSLIE ST,2021,21299.71,38191,1913 W AINSLIE ST
47,Alley Apron Menu,2045 W BELLE PLAINE AVE,2021,16288.96,38192,2045 W BELLE PLAINE AVE
47,Alley Apron Menu,5021 N GLENWOOD AVE,2021,12102.79,38193,5021 N GLENWOOD AVE
47,Alley Speed Hump Menu,1454 W WARNER AVE,2021,700,38196,1454 W WARNER AVE
47,Alley Speed Hump Menu,2445 W CULLOM AVE,2021,700,38197,2445 W CULLOM AVE
47,Curb & Gutter Menu,3500 N RAVENSWOOD AVE W,2021,68969.58,38205,3500 N RAVENSWOOD AVE W
47,Sidewalk Menu,1511 W CULLOM AVE,2021,1963.76,38211,1511 W CULLOM AVE
47,Sidewalk Menu,1814 W EDDY ST,2021,6687.53,38212,1814 W EDDY ST
47,Sidewalk Menu,1828 W HENDERSON ST,2021,3018.68,38213,1828 W HENDERSON ST
47,Sidewalk Menu,2049 W AINSLIE ST,2021,732.78,38214,2049 W AINSLIE ST
47,Sidewalk Menu,2105 W CULLOM AVE,2021,3858.6,38215,2105 W CULLOM AVE
47,Sidewalk Menu,2136 W WARNER AVE,2021,2415.7,38216,2136 W WARNER AVE
47,Sidewalk Menu,2149 W BRADLEY PL,2021,1605.98,38217,2149 W BRADLEY PL
47,Sidewalk Menu,2153 W BELLE PLAINE AVE,2021,4099.88,38218,2153 W BELLE PLAINE AVE
47,Sidewalk Menu,2326 W SUNNYSIDE AVE,2021,24227.16,38219,2326 W SUNNYSIDE AVE
47,Sidewalk Menu,2400 W WARNER AVE,2021,944.71,38220,2400 W WARNER AVE
47,Sidewalk Menu,2434 W BERTEAU AVE,2021,2842.38,38221,2434 W BERTEAU AVE
47,Sidewalk Menu,2535 W HUTCHINSON ST,2021,7364.38,38222,2535 W HUTCHINSON ST
47,Sidewalk Menu,3201 N RAVENSWOOD AVE E,2021,10148.94,38223,3201 N RAVENSWOOD AVE E
47,Sidewalk Menu,3502 N OAKLEY AVE,2021,1163.48,38224,3502 N OAKLEY AVE
47,Sidewalk Menu,3759 N HERMITAGE AVE,2021,8146.18,38225,3759 N HERMITAGE AVE
47,Sidewalk Menu,4156 N CAMPBELL AVE,2021,4654.06,38226,4156 N CAMPBELL AVE
47,Sidewalk Menu,4717 N WOLCOTT AVE,2021,2404.13,38227,4717 N WOLCOTT AVE
47,Sidewalk Menu,4754 N LEAVITT ST,2021,6469,38228,4754 N LEAVITT ST
47,Sidewalk Menu,4846 N MAGNOLIA AVE,2021,3214.56,38229,4846 N MAGNOLIA AVE
47,Street Light Pole Painting Menu,3800 N LINCOLN AVE,2021,300,38235,3800 N LINCOLN AVE
47,Street Light Upgrade Menu,2311 W AINSLIE ST,2021,500,38236,2311 W AINSLIE ST
47,Street Light Upgrade Menu,2458 W ADDISON ST,2021,500,38237,2458 W ADDISON ST
47,Street Speed Hump Menu,2500 W PENSACOLA AVE,2021,4700,38251,2500 W PENSACOLA AVE
47,Street Speed Hump Menu,3500 N OAKLEY AVE,2021,4700,38252,3500 N OAKLEY AVE
47,Street Speed Hump Menu,4200 N LEAVITT ST,2021,1741.73,38253,4200 N LEAVITT ST
47,Alley Apron Menu,1925 W LARCHMONT AVE,2022,11934.49,38255,1925 W LARCHMONT AVE
47,Alley Speed Hump Menu,2445 W CULLOM AVE,2022,700,38260,2445 W CULLOM AVE
47,Curb & Gutter Menu,1909 W BYRON ST,2022,17404.08,38263,1909 W BYRON ST
47,Curb & Gutter Menu,2400 W CUYLER AVE,2022,15982.48,38264,2400 W CUYLER AVE
47,Curb & Gutter Menu,3742 N CLAREMONT AVE,2022,8752.53,38265,3742 N CLAREMONT AVE
47,Curb & Gutter Menu,3944 N CLAREMONT AVE,2022,42227.82,38266,3944 N CLAREMONT AVE
47,Curb & Gutter Menu,4216 N CLARK ST,2022,21184.51,38267,4216 N CLARK ST
47,Curb & Gutter Menu,4237 N PAULINA ST,2022,1385.86,38268,4237 N PAULINA ST
47,Floodlight Menu,3538 N LINCOLN AVE,2022,2850,38269,3538 N LINCOLN AVE
47,Floodlight Menu,4813 N LINCOLN AVE,2022,950,38270,4813 N LINCOLN AVE
47,Lake View High School Picnic Tables,4015 N ASHLAND AVE,2022,5956,38285,4015 N ASHLAND AVE
47,Revere Park Drinking Fountains,2509 W IRVING PARK RD,2022,54000,38290,2509 W IRVING PARK RD
47,Sidewalk Menu,1930 W WILSON AVE,2022,19676.74,38291,1930 W WILSON AVE
47,Sidewalk Menu,1952 W PATTERSON AVE,2022,5028.45,38292,1952 W PATTERSON AVE
47,Sidewalk Menu,2143 W WARNER AVE,2022,6407.87,38293,2143 W WARNER AVE
47,Sidewalk Menu,3626 N CLAREMONT AVE,2022,6172.58,38295,3626 N CLAREMONT AVE
47,Sidewalk Menu,4246 N ASHLAND AVE,2022,9286.95,38296,4246 N ASHLAND AVE
47,Sidewalk Menu,4754 N LEAVITT ST,2022,1116.04,38298,4754 N LEAVITT ST
47,Street Light Upgrade Menu,2250 W ADDISON ST,2022,500,38310,2250 W ADDISON ST
47,Street Light Upgrade Menu,3553 N MARSHFIELD AVE,2022,382.33,38311,3553 N MARSHFIELD AVE
47,Street Resurfacing Menu,4142 N DAMEN AVE,2022,14640.73,38313,4142 N DAMEN AVE
48,Bollard Menu,1201 W HOOD AV,2006,3570,38365,1201 W HOOD AV
48,Miscellaneous-Other,6151 N Sheridan Road,2006,110000,38383,6151 N Sheridan Road
48,Bollard Menu,1473 W SUMMERDALE AV,2007,448,38395,1473 W SUMMERDALE AV
48,Miscellaneous-CDOT,5556 N. Sheridan,2007,536,38397,5556 N. Sheridan
48,Miscellaneous-CDOT,5649 N. Sheridan Rd,2007,25320,38398,5649 N. Sheridan Rd
48,Miscellaneous-CDOT,5455 N. Sheridan Rd,2007,25524,38401,5455 N. Sheridan Rd
48,Miscellaneous-Other,4835 N Sheridan Road,2007,60000,38447,4835 N Sheridan Road
48,Bollard Menu,1472 W BERWYN AV,2008,647,38451,1472 W BERWYN AV
48,Miscellaneous-CDOT,1150 W Foster (Bus Pad),2008,14471,38457,1150 W Foster
48,Miscellaneous-CDOT,5250 N Sheridan (Bus Pad),2008,22873,38458,5250 N Sheridan
48,Miscellaneous-CDOT,5356 N Sheridan (Bus Pad),2008,16508,38459,5356 N Sheridan
48,Bollard Menu,1500 W ELMDALE AV,2009,1792,38486,1500 W ELMDALE AV
48,Bollard Menu,950 W THORNDALE AV,2009,38187,38487,950 W THORNDALE AV
48,Curb/Gutter Menu - Change Order,6166 N Sheridan,2009,12525,38491,6166 N Sheridan
48,Miscellaneous-CDOT,6231 N Glenwood - Planting,2009,1015,38500,6231 N Glenwood - Planting
48,Street Lighting,1100 W BERWYN AV,2009,800,38521,1100 W BERWYN AV
48,Street Lighting,1055 W BRYN MAWR AVE,2011,500,38539,1055 W BRYN MAWR AVE
48,Street Lighting,5903 N SHERIDAN RD,2011,500,38540,5903 N SHERIDAN RD
48,Street Lighting,6241 N KENMORE AVE,2011,350,38541,6241 N KENMORE AVE
48,Street Lighting,6255 N KENMORE AVE,2011,350,38543,6255 N KENMORE AVE
48,Floodlight Menu,5816 N SHERIDAN RD,2012,1000,38582,5816 N SHERIDAN RD
48,Floodlight Menu,5808 N KENMORE AVE,2012,1000,38583,5808 N KENMORE AVE
48,Chicago Park District,5915 N SHERIDAN RD,2013,22000,38606,5915 N SHERIDAN RD
48,School Projects,1423 W BRYN MAWR AVE,2013,100000,38610,1423 W BRYN MAWR AVE
48,Floodlight Menu,5019 N WINTHROP AVE,2014,600,38652,5019 N WINTHROP AVE
48,School Projects,5120 N WINTHROP AVE,2014,115000,38662,5120 N WINTHROP AVE
48,Alley Apron Menu,1533 W THORNDALE AVE,2015,9191,38668,1533 W THORNDALE AVE
48,Curb & Gutter Menu,1536 W ELMDALE AVE,2015,2163,38680,1536 W ELMDALE AVE
48,Chicago Public Schools,5900 N WINTHROP AVE,2015,50000,38711,5900 N WINTHROP AVE
48,Miscellaneous Other,5900 N WINTHROP AVE,2015,6000,38712,5900 N WINTHROP AVE
48,Alley Apron Menu,1215 W ROSEDALE AVE,2016,10107.75,38713,1215 W ROSEDALE AVE
48,Alley Apron Menu,1211 W GRANVILLE AVE,2016,8606.18,38714,1211 W GRANVILLE AVE
48,Alley Apron Menu,1245 W BRYN MAWR AVE,2016,8523.55,38715,1245 W BRYN MAWR AVE
48,Alley Apron Menu,1456 W HIGHLAND AVE,2016,24322.31,38716,1456 W HIGHLAND AVE
48,Alley Apron Menu,1211 W GRANVILLE AVE,2016,3048,38717,1211 W GRANVILLE AVE
48,Bollard Menu,5401 N BROADWAY,2016,3154.02,38719,5401 N BROADWAY
48,2016 Menu - Ward 48 Senn Park Playlot,5887 N RIDGE AVE,2016,346420,38721,5887 N RIDGE AVE
48,Curb & Gutter Menu,4925 N BROADWAY,2016,5134.09,38724,4925 N BROADWAY
48,Curb & Gutter Menu,6254 N GLENWOOD AVE,2016,5662.5,38725,6254 N GLENWOOD AVE
48,Senn High School - pool renovation (CPS and Park District),5900 N GLENWOOD AVE,2016,60000,38734,5900 N GLENWOOD AVE
48,Swift Elementary School Auditorium,5900 N WINTHROP AVE,2016,60000,38735,5900 N WINTHROP AVE
48,Sidewalk Menu,1501 W THORNDALE AVE,2016,2490.07,38736,1501 W THORNDALE AVE
48,Sidewalk Menu,5515 N MAGNOLIA AVE,2016,9456.1,38737,5515 N MAGNOLIA AVE
48,Sidewalk Menu,5100 N WINTHROP AVE,2016,6661.86,38738,5100 N WINTHROP AVE
48,Sidewalk Menu,1478 W GREGORY ST,2016,3004.4,38739,1478 W GREGORY ST
48,Street Light Upgrade Menu,1533 W ARDMORE AVE,2016,400,38744,1533 W ARDMORE AVE
48,Alley Apron Menu,1040 W AINSLIE ST,2017,5834.9,38751,1040 W AINSLIE ST
48,Alley Apron Menu,1217 W CATALPA AVE,2017,11968.23,38752,1217 W CATALPA AVE
48,Alley Apron Menu,5616 N GLENWOOD AVE,2017,10447.85,38753,5616 N GLENWOOD AVE
48,Alley Apron Menu,1415 W BRYN MAWR AVE,2017,11703.48,38754,1415 W BRYN MAWR AVE
48,Alley Apron Menu,5657 N GLENWOOD AVE,2017,17899.17,38755,5657 N GLENWOOD AVE
48,Alley Apron Menu,5646 N WAYNE AVE,2017,9228.63,38756,5646 N WAYNE AVE
48,Alley Apron Menu,1415 W GREGORY ST,2017,6903.88,38757,1415 W GREGORY ST
48,Alley Apron Menu,1340 W ROSEMONT AVE,2017,11244.33,38758,1340 W ROSEMONT AVE
48,Alley Apron Menu,1023 W THORNDALE AVE,2017,10060.74,38759,1023 W THORNDALE AVE
48,Alley Apron Menu,1052 W THORNDALE AVE,2017,10624.98,38760,1052 W THORNDALE AVE
48,Alley Apron Menu,1053 W THORNDALE AVE,2017,8130.21,38761,1053 W THORNDALE AVE
48,Alley Apron Menu,5718 N GLENWOOD AVE,2017,8903.8,38762,5718 N GLENWOOD AVE
48,Alley Apron Menu,1042 W GLENLAKE AVE,2017,8771.51,38763,1042 W GLENLAKE AVE
48,Alley Resurfacing Menu,1533 W THORNDALE AVE,2017,8304.04,38766,1533 W THORNDALE AVE
48,Alley Speed Hump Menu,6140 N BROADWAY,2017,2100,38767,6140 N BROADWAY
48,Alley Speed Hump Menu,6140 N BROADWAY,2017,1400,38768,6140 N BROADWAY
48,Bus Pad,5555 N SHERIDAN RD,2017,15914.16,38774,5555 N SHERIDAN RD
48,Cedar Park Improvements,5311 N WINTHROP AVE,2017,25000,38775,5311 N WINTHROP AVE
48,Curb & Gutter Menu,1225 W GRANVILLE AVE,2017,11270.68,38776,1225 W GRANVILLE AVE
48,Mural at Peirce Elementary School,1423 W BRYN MAWR AVE,2017,18900,38791,1423 W BRYN MAWR AVE
48,Sculpture - Broadway Armory Park,5917 N BROADWAY,2017,18000,38796,5917 N BROADWAY
48,Ward 48 Senn Park Play-lot,5887 N RIDGE AVE,2017,53580,38797,5887 N RIDGE AVE
48,Sidewalk Menu,6216 N GLENWOOD AVE,2017,3384,38799,6216 N GLENWOOD AVE
48,Sidewalk Menu,6154 N GLENWOOD AVE,2017,22509.1,38800,6154 N GLENWOOD AVE
48,Sidewalk Menu,1066 W AINSLIE ST,2017,18748.49,38803,1066 W AINSLIE ST
48,Sidewalk Menu,1123 W THORNDALE AVE,2017,479.26,38804,1123 W THORNDALE AVE
48,Sidewalk Menu,1500 W ELMDALE AVE,2017,7423.03,38805,1500 W ELMDALE AVE
48,Sidewalk Menu,1433 W RASCHER AVE,2017,1185.1,38806,1433 W RASCHER AVE
48,Street Bump Outs Menu,1263 W THORNDALE AVE,2017,30000,38808,1263 W THORNDALE AVE
48,Alley Apron Menu,1425 W VICTORIA ST,2018,12419.37,38823,1425 W VICTORIA ST
48,Alley Apron Menu,1413 W CATALPA AVE,2018,10572.56,38824,1413 W CATALPA AVE
48,Alley Apron Menu,1417 W BERWYN AVE,2018,10432.75,38826,1417 W BERWYN AVE
48,Alley Apron Menu,1542 W THOME AVE,2018,13551.74,38827,1542 W THOME AVE
48,Alley Apron Menu,1350 W BALMORAL AVE,2018,14518.53,38828,1350 W BALMORAL AVE
48,Alley Apron Menu,1473 W RASCHER AVE,2018,11047.79,38829,1473 W RASCHER AVE
48,Cedar Playlot - capital improvements,5311 N WINTHROP AVE,2018,110000,38838,5311 N WINTHROP AVE
48,Goudy Elementary School - Playground Improvements,5120 N WINTHROP AVE,2018,15000,38839,5120 N WINTHROP AVE
48,Goudy Elementary Mural,5120 N WINTHROP AVE,2018,20000,38840,5120 N WINTHROP AVE
48,Concrete Alley Menu,1549 W HIGHLAND AVE,2018,1869.77,38841,1549 W HIGHLAND AVE
48,Curb & Gutter Menu,5220 N KENMORE AVE,2018,13314.46,38850,5220 N KENMORE AVE
48,Curb & Gutter Menu,5244 N LAKEWOOD AVE,2018,12944.46,38851,5244 N LAKEWOOD AVE
48,Peirce Elementary Mural,1423 W BRYN MAWR AVE,2018,20000,38858,1423 W BRYN MAWR AVE
48,Senn Park - Kiosk,5887 N RIDGE AVE,2018,11000,38859,5887 N RIDGE AVE
48,Sidewalk Menu,1401 W HOLLYWOOD AVE,2018,31323,38862,1401 W HOLLYWOOD AVE
48,Sidewalk Menu,1340 W THORNDALE AVE,2018,688,38863,1340 W THORNDALE AVE
48,Sidewalk Menu,1301 W ELMDALE AVE,2018,1699,38864,1301 W ELMDALE AVE
48,Sidewalk Menu,5510 N MAGNOLIA AVE,2018,630,38865,5510 N MAGNOLIA AVE
48,Street Light Piggy Back Only Menu,5313 N WINTHROP AVE,2018,7000,38873,5313 N WINTHROP AVE
48,Street Light Upgrade Menu,6231 N BROADWAY,2018,500,38875,6231 N BROADWAY
48,Alley Apron Menu,1240 W BALMORAL AVE,2019,13229.76,38881,1240 W BALMORAL AVE
48,Alley Apron Menu,1240 W BALMORAL AVE,2019,3487.61,38882,1240 W BALMORAL AVE
48,Alley Apron Menu,1351 W BALMORAL AVE,2019,17439.85,38883,1351 W BALMORAL AVE
48,Curb & Gutter Menu,1217 W HOOD AVE,2019,18379.6,38894,1217 W HOOD AVE
48,Curb & Gutter Menu,1430 W HOLLYWOOD AVE,2019,11184.31,38896,1430 W HOLLYWOOD AVE
48,Curb & Gutter Menu,5621 N GLENWOOD AVE,2019,5432.54,38902,5621 N GLENWOOD AVE
48,Curb & Gutter Menu,5318 N LAKEWOOD AVE,2019,3521.13,38903,5318 N LAKEWOOD AVE
48,Curb & Gutter Menu,5417 N LAKEWOOD AVE,2019,2753.51,38904,5417 N LAKEWOOD AVE
48,Curb & Gutter Menu,5423 N LAKEWOOD AVE,2019,2545.96,38905,5423 N LAKEWOOD AVE
48,Curb & Gutter Menu,5435 N LAKEWOOD AVE,2019,4770.76,38906,5435 N LAKEWOOD AVE
48,Curb & Gutter Menu,5232 N LAKEWOOD AVE,2019,3141.84,38907,5232 N LAKEWOOD AVE
48,Curb & Gutter Menu,5426 N BROADWAY,2019,3595.51,38908,5426 N BROADWAY
48,Curb & Gutter Menu,5518 N LAKEWOOD AVE,2019,3342.59,38911,5518 N LAKEWOOD AVE
48,Curb & Gutter Menu,5423 N LAKEWOOD AVE,2019,760.75,38913,5423 N LAKEWOOD AVE
48,Curb & Gutter Menu,1430 W HOLLYWOOD AVE,2019,2219.39,38914,1430 W HOLLYWOOD AVE
48,Sidewalk Menu,6030 N SHERIDAN RD,2019,1621.56,38922,6030 N SHERIDAN RD
48,Sidewalk Menu,5516 N KENMORE AVE,2019,1017.83,38923,5516 N KENMORE AVE
48,Sidewalk Menu,1055 W BRYN MAWR AVE,2019,3342.29,38924,1055 W BRYN MAWR AVE
48,Sidewalk Menu,5708 N BROADWAY,2019,837.46,38925,5708 N BROADWAY
48,Sidewalk Menu,5945 N LAKEWOOD AVE,2019,1435.73,38926,5945 N LAKEWOOD AVE
48,Sidewalk Menu,1300 W THORNDALE AVE,2019,1794.18,38927,1300 W THORNDALE AVE
48,Sidewalk Menu,1334 W THORNDALE AVE,2019,2882.47,38928,1334 W THORNDALE AVE
48,Sidewalk Menu,1252 W ROSEDALE AVE,2019,2466.6,38929,1252 W ROSEDALE AVE
48,Sidewalk Menu,1311 W ROSEDALE AVE,2019,920.95,38930,1311 W ROSEDALE AVE
48,Sidewalk Menu,5901 N MAGNOLIA AVE,2019,3132.42,38931,5901 N MAGNOLIA AVE
48,Sidewalk Menu,5539 N LAKEWOOD AVE,2019,2670.05,38932,5539 N LAKEWOOD AVE
48,Sidewalk Menu,5053 N SHERIDAN RD,2019,4790.27,38933,5053 N SHERIDAN RD
48,Sidewalk Menu,1316 W ELMDALE AVE,2019,4229.07,38934,1316 W ELMDALE AVE
48,Sidewalk Menu,5913 N SHERIDAN RD,2019,7766.67,38936,5913 N SHERIDAN RD
48,Street Light Pole for High Definition Camera Menu,5052 N WINTHROP AVE,2019,4472.74,38944,5052 N WINTHROP AVE
48,Street Speed Hump Menu,1436 W GLENLAKE AVE,2019,2350,38955,1436 W GLENLAKE AVE
48,Street Speed Hump Menu,1518 W GLENLAKE AVE,2019,2350,38956,1518 W GLENLAKE AVE
48,Street Speed Hump Menu,5645 N GLENWOOD AVE,2019,2350,38957,5645 N GLENWOOD AVE
48,Alley Apron Menu,6214 N LAKEWOOD AVE,2020,25960.24,38958,6214 N LAKEWOOD AVE
48,Alley Speed Hump Menu,5921 N KENMORE AVE,2020,700,38959,5921 N KENMORE AVE
48,Curb & Gutter Menu,5428 N KENMORE AVE,2020,26231.35,38961,5428 N KENMORE AVE
48,Curb & Gutter Menu,1026 W AINSLIE ST,2020,9121.14,38962,1026 W AINSLIE ST
48,Curb & Gutter Menu,1342 W HOOD AVE,2020,7298.82,38963,1342 W HOOD AVE
48,Sidewalk Menu,925 W CARMEN AVE,2020,8654.84,38966,925 W CARMEN AVE
48,Sidewalk Menu,1017 W ARDMORE AVE,2020,4409.79,38967,1017 W ARDMORE AVE
48,Street Light Upgrade Menu,924 W WINONA ST,2020,500,38970,924 W WINONA ST
48,Street Speed Hump Menu,1536 W GLENLAKE AVE,2020,2350,38976,1536 W GLENLAKE AVE
48,Street Speed Hump Menu,6151 N GLENWOOD AVE,2020,2350,38977,6151 N GLENWOOD AVE
48,Curb & Gutter Menu,1206 W BALMORAL AVE,2021,7489.46,38986,1206 W BALMORAL AVE
48,Curb & Gutter Menu,5225 N KENMORE AVE,2021,885,38987,5225 N KENMORE AVE
48,Sidewalk Menu,1207 W BRYN MAWR AVE,2021,8615.18,38992,1207 W BRYN MAWR AVE
48,Sidewalk Menu,1307 W CATALPA AVE,2021,4052.12,38993,1307 W CATALPA AVE
48,Sidewalk Menu,1355 W NORWOOD ST,2021,14795.55,38994,1355 W NORWOOD ST
48,Sidewalk Menu,1417 W GLENLAKE AVE,2021,4052.12,38995,1417 W GLENLAKE AVE
48,Sidewalk Menu,1446 W HOOD AVE,2021,3018.44,38996,1446 W HOOD AVE
48,Sidewalk Menu,1451 W ELMDALE AVE,2021,3535.28,38997,1451 W ELMDALE AVE
48,Sidewalk Menu,1519 W HIGHLAND AVE,2021,4580.76,38998,1519 W HIGHLAND AVE
48,Sidewalk Menu,5449 N WAYNE AVE,2021,1175.28,38999,5449 N WAYNE AVE
48,Sidewalk Menu,5661 N GLENWOOD AVE,2021,9532.04,39000,5661 N GLENWOOD AVE
48,Sidewalk Menu,6157 N KENMORE AVE,2021,4580.76,39001,6157 N KENMORE AVE
48,Sidewalk Menu,6250 N GLENWOOD AVE,2021,2048.48,39002,6250 N GLENWOOD AVE
48,Tree Planting in Various Locations,5533 N BROADWAY,2021,50000,39019,5533 N BROADWAY
48,Curb & Gutter Menu,1224 W BERWYN AVE,2022,1823.69,39024,1224 W BERWYN AVE
48,Curb & Gutter Menu,1329 W ROSEDALE AVE,2022,5417.85,39026,1329 W ROSEDALE AVE
48,Curb & Gutter Menu,5300 N WAYNE AVE,2022,2377.7,39028,5300 N WAYNE AVE
48,Curb & Gutter Menu,6220 N GLENWOOD AVE,2022,19825.42,39029,6220 N GLENWOOD AVE
48,Curb & Gutter Menu,6322 N GREENVIEW AVE,2022,1431.34,39030,6322 N GREENVIEW AVE
48,Mosaic Installation at Stephen K. Kayt Elementary School,1518 W GRANVILLE AVE,2022,15904.24,39035,1518 W GRANVILLE AVE
48,Sidewalk Menu,1049 W BRYN MAWR AVE,2022,4316.01,39036,1049 W BRYN MAWR AVE
48,Sidewalk Menu,1205 W THORNDALE AVE,2022,2676.24,39037,1205 W THORNDALE AVE
48,Sidewalk Menu,1321 W BERWYN AVE,2022,15107.21,39038,1321 W BERWYN AVE
48,Sidewalk Menu,1339 W CATALPA AVE,2022,6210.34,39039,1339 W CATALPA AVE
48,Sidewalk Menu,1414 W NORWOOD ST,2022,478.61,39040,1414 W NORWOOD ST
48,Sidewalk Menu,5236 N GLENWOOD AVE,2022,2571.22,39041,5236 N GLENWOOD AVE
48,Sidewalk Menu,5306 N WINTHROP AVE,2022,408.99,39042,5306 N WINTHROP AVE
48,Sidewalk Menu,5316 N WAYNE AVE,2022,5046.39,39043,5316 N WAYNE AVE
48,Sidewalk Menu,5412 N WAYNE AVE,2022,2508.21,39044,5412 N WAYNE AVE
48,Sidewalk Menu,5444 N MAGNOLIA AVE,2022,2571.22,39045,5444 N MAGNOLIA AVE
48,Sidewalk Menu,5714 N RIDGE AVE,2022,3573.75,39046,5714 N RIDGE AVE
48,Sidewalk Menu,6242 N LAKEWOOD AVE,2022,2988.94,39047,6242 N LAKEWOOD AVE
48,Street Speed Hump Menu,5539 N WAYNE AVE,2022,2350,39056,5539 N WAYNE AVE
48,Tree Planting in Various Locations,5533 N BROADWAY,2022,50000,39057,5533 N BROADWAY
49,Bollard Menu,7627 N ROGERS AV,2006,1293,39090,7627 N ROGERS AV
49,Street Lighting,7500 N SEELEY AV,2006,2000,39106,7500 N SEELEY AV
49,Street Lighting,7700 N ASHLAND AV,2006,2000,39107,7700 N ASHLAND AV
49,Guardrail Menu,1300 W BIRCHWOOD AV,2007,2089,39133,1300 W BIRCHWOOD AV
49,Bollard Menu,1318 W SHERWIN AV,2008,1428,39166,1318 W SHERWIN AV
49,Miscellaneous-CDOT,6921 N Lakewood - alley flooding,2008,14,39171,6921 N Lakewood - alley flooding
49,Miscellaneous-CDOT,7212 N Clark - tree pits,2008,30086,39175,7212 N Clark - tree pits
49,Street Lighting,1305 W FARWELL AV,2008,800,39193,1305 W FARWELL AV
49,Street Lighting,1305 W FARWELL AV,2008,500,39194,1305 W FARWELL AV
49,POD Camera,7616 N. Paulina,2008,36000,39201,7616 N. Paulina
49,Miscellaneous-CDOT,6921 N Lakewood alley flooding,2009,3141,39206,6921 N Lakewood alley flooding
