"ward","type","location","year","est_cost","main_street","from_street","to_street","from_intersection","to_intersection"
1,"Street Resurfacing Menu","ON N MOZART ST FROM W BLOOMINGDALE AVE (1800 N) TO W CORTLAND ST (1900 N)",2014,36271,"N MOZART ST","W BLOOMINGDALE AVE ","W CORTLAND ST ","N MOZART ST and W BLOOMINGDALE AVE ","N MOZART ST and W CORTLAND ST "
1,"Street Resurfacing Menu","ON N HONORE ST FROM W HADDON AVE (1130 N) TO W DIVISION ST (1200 N)",2014,13977,"N HONORE ST","W HADDON AVE ","W DIVISION ST ","N HONORE ST and W HADDON AVE ","N HONORE ST and W DIVISION ST "
1,"Street Resurfacing Menu","ON W THOMAS ST FROM N OAKLEY BLVD (2300 W) TO N WESTERN AVE (2400 W)",2014,40588,"W THOMAS ST","N OAKLEY BLVD ","N WESTERN AVE ","W THOMAS ST and N OAKLEY BLVD ","W THOMAS ST and N WESTERN AVE "
1,"Street Speed Hump Menu","ON W MEDILL AVE FROM N WESTERN AVE (2400 W) TO N CAMPBELL AVE (2500 W)",2014,3700,"W MEDILL AVE","N WESTERN AVE ","N CAMPBELL AVE ","W MEDILL AVE and N WESTERN AVE ","W MEDILL AVE and N CAMPBELL AVE "
1,"Street Speed Hump Menu","ON N ROCKWELL ST FROM W FULLERTON AVE (2400 N) TO N MILWAUKEE AVE (2140 N)",2014,3700,"N ROCKWELL ST","W FULLERTON AVE ","N MILWAUKEE AVE ","N ROCKWELL ST and W FULLERTON AVE ","N ROCKWELL ST and N MILWAUKEE AVE "
1,"Street Speed Hump Menu","ON W SCHILLER ST FROM N DAMEN AVE (2000 W) TO W EVERGREEN AVE (1900 W)",2014,1850,"W SCHILLER ST","N DAMEN AVE ","W EVERGREEN AVE ","W SCHILLER ST and N DAMEN AVE ","W SCHILLER ST and W EVERGREEN AVE "
1,"Alley Apron Menu","ON W SHAKESPEARE AVE FROM 2537 W TO N MAPLEWOOD AVE (2600 W)",2015,7476,"W SHAKESPEARE AVE","2537 W","N MAPLEWOOD AVE ","2537 W SHAKESPEARE AVE","W SHAKESPEARE AVE and N MAPLEWOOD AVE "
1,"Alley Apron Menu","ON W CORTLAND ST FROM 2652 W TO N TALMAN AVE (2630 W)",2015,9034,"W CORTLAND ST","2652 W","N TALMAN AVE ","2652 W CORTLAND ST","W CORTLAND ST and N TALMAN AVE "
1,"Alley Apron Menu","ON N MAPLEWOOD AVE FROM 2150 N TO W SHAKESPEARE AVE (2150 N)",2015,10619,"N MAPLEWOOD AVE","2150 N","W SHAKESPEARE AVE ","2150 N MAPLEWOOD AVE","N MAPLEWOOD AVE and W SHAKESPEARE AVE "
1,"Curb & Gutter Menu","ON W LYNDALE ST FROM N MAPLEWOOD AVE (2560 W) TO N WASHTENAW AVE (2700 W)",2015,4473,"W LYNDALE ST","N MAPLEWOOD AVE ","N WASHTENAW AVE ","W LYNDALE ST and N MAPLEWOOD AVE ","W LYNDALE ST and N WASHTENAW AVE "
1,"Miscellaneous CDOT","ON N WOOD ST FROM W AUGUSTA BLVD (1000 N) TO W HUBBARD ST (440 N)",2015,65059,"N WOOD ST","W AUGUSTA BLVD ","W HUBBARD ST ","N WOOD ST and W AUGUSTA BLVD ","N WOOD ST and W HUBBARD ST "
1,"Sidewalk Menu","ON W ERIE ST FROM N PAULINA ST (1700 W) TO N WOOD ST (1800 W)",2015,7515,"W ERIE ST","N PAULINA ST ","N WOOD ST ","W ERIE ST and N PAULINA ST ","W ERIE ST and N WOOD ST "
1,"Sidewalk Menu","ON N HERMITAGE AVE FROM W WALTON ST (900 N) TO W AUGUSTA BLVD (1000 N)",2015,2189,"N HERMITAGE AVE","W WALTON ST ","W AUGUSTA BLVD ","N HERMITAGE AVE and W WALTON ST ","N HERMITAGE AVE and W AUGUSTA BLVD "
1,"Sidewalk Menu","ON W DIVISION ST FROM N HONORE ST (1200 N) TO N WOOD ST (1200 N)",2015,17810,"W DIVISION ST","N HONORE ST ","N WOOD ST ","W DIVISION ST and N HONORE ST ","W DIVISION ST and N WOOD ST "
1,"Sidewalk Menu","ON N GREENVIEW AVE FROM W CHESTNUT ST (900 N) TO W PEARSON ST (850 N)",2015,19709,"N GREENVIEW AVE","W CHESTNUT ST ","W PEARSON ST ","N GREENVIEW AVE and W CHESTNUT ST ","N GREENVIEW AVE and W PEARSON ST "
1,"Sidewalk Menu","ON N HUMBOLDT BLVD FROM W CORTLAND ST (1900 N) TO W ARMITAGE AVE (2000 N)",2015,2793,"N HUMBOLDT BLVD","W CORTLAND ST ","W ARMITAGE AVE ","N HUMBOLDT BLVD and W CORTLAND ST ","N HUMBOLDT BLVD and W ARMITAGE AVE "
1,"Sidewalk Menu","ON N FRANCISCO AVE FROM W FULLERTON AVE (2400 N) TO W ALTGELD ST (2500 N)",2015,4508,"N FRANCISCO AVE","W FULLERTON AVE ","W ALTGELD ST ","N FRANCISCO AVE and W FULLERTON AVE ","N FRANCISCO AVE and W ALTGELD ST "
1,"Sidewalk Menu","ON N MILWAUKEE AVE FROM N CALIFORNIA AVE (2300 N) TO W MEDILL AVE (2350 N)",2015,5987,"N MILWAUKEE AVE","N CALIFORNIA AVE ","W MEDILL AVE ","N MILWAUKEE AVE and N CALIFORNIA AVE ","N MILWAUKEE AVE and W MEDILL AVE "
1,"Sidewalk Menu","ON W AUGUSTA BLVD FROM N ASHLAND AVE (1600 W) TO N MARSHFIELD AVE (1640 W)",2015,27099,"W AUGUSTA BLVD","N ASHLAND AVE ","N MARSHFIELD AVE ","W AUGUSTA BLVD and N ASHLAND AVE ","W AUGUSTA BLVD and N MARSHFIELD AVE "
