"ward","type","location","year","est_cost","id","start_address","end_address"
47,"Alley Resurfacing Menu","2143-2159 W CULLOM AVE",2021,6292.765,43389,"2143 W CULLOM AVE","2159 W CULLOM AVE"
47,"Speed Indicator Signs","1466-1468 W IRVING PARK RD",2022,985.096666666667,43415,"1466 W IRVING PARK RD","1468 W IRVING PARK RD"
48,"Alley Resurfacing Menu","1333-1343 W NORWOOD ST",2018,3973.71,43441,"1333 W NORWOOD ST","1343 W NORWOOD ST"
48,"Sidewalk Menu","1200-1210 W NORWOOD ST",2018,25055.5,43443,"1200 W NORWOOD ST","1210 W NORWOOD ST"
48,"Sidewalk Menu","1101-1111 W ROSEMONT AVE",2018,10947.5,43445,"1101 W ROSEMONT AVE","1111 W ROSEMONT AVE"
48,"Sidewalk Menu","1100-1112 W ROSEMONT AVE",2018,10947.5,43446,"1100 W ROSEMONT AVE","1112 W ROSEMONT AVE"
48,"Alley Resurfacing Menu","4901-4931 N WINTHROP AVE",2020,15482,43473,"4901 N WINTHROP AVE","4931 N WINTHROP AVE"
48,"Curb & Gutter Menu","1055-1059 W BERWYN AVE",2020,11256.855,43476,"1055 W BERWYN AVE","1059 W BERWYN AVE"
49,"Alley Speed Hump Menu","7021-7035 N SHERIDAN RD",2018,700,43531,"7021 N SHERIDAN RD","7035 N SHERIDAN RD"
50,"Alley Speed Hump Menu","6201-6225 N MOZART ST",2017,350,43573,"6201 N MOZART ST","6225 N MOZART ST"
50,"Alley Resurfacing Menu","2301-2323 W ARTHUR AVE",2019,13606.51,43585,"2301 W ARTHUR AVE","2323 W ARTHUR AVE"
50,"Alley Resurfacing Menu","2801-2813 W DEVON AVE",2021,5642.81,43593,"2801 W DEVON AVE","2813 W DEVON AVE"
