"ward","type","location","year","est_cost","id","intersection_1","intersection_2"
2,"Sidewalk Menu","E ROOSEVELT RD & S WABASH AV (44 E) & S MICHIGAN AV (120 E)",2011,37360,1829,"44 E ROOSEVELT RD","120 E ROOSEVELT RD"
2,"Sidewalk Menu","W JACKSON BLVD & S HOYNE AV (2100 W) & S HAMILTON AV (2132 W)",2011,22368,1830,"2100 W JACKSON BLVD","2132 W JACKSON BLVD"
2,"Street Resurface Menu","W FLOURNOY ST & S WESTERN AV (2400 W) & S OAKLEY BV (2300 W)",2011,28755,1831,"2400 W FLOURNOY ST","2300 W FLOURNOY ST"
2,"Street Resurface Menu","W POLK ST & S LAFLIN ST (1500 W) & S ASHLAND AV (1600 W)",2011,45659,1832,"1500 W POLK ST","1600 W POLK ST"
2,"Street Resurface Menu","W CONGRESS PKWY & S JEFFERSON ST (600 W) & S CLINTON ST (520 W)",2011,28636,1833,"600 W CONGRESS PKWY","520 W CONGRESS PKWY"
2,"Street Resurface Menu","S SANGAMON ST & W JACKSON BV (300 S) & W ADAMS ST (200 S)",2011,38133,1834,"300 S SANGAMON ST","200 S SANGAMON ST"
2,"Street Resurface Menu","W ARTHINGTON ST & S WESTERN AV (2400 W) & S CAMPBELL AV (2500 W)",2011,50208,1835,"2400 W ARTHINGTON ST","2500 W ARTHINGTON ST"
2,"Street Resurface Menu","E 37TH ST & S PRAIRIE AV (232 E) & S CALUMET AV (334 E)",2011,80727,1836,"232 E 37TH ST","334 E 37TH ST"
2,"Street Resurface Menu(1-5)","S CAMPBELL AVE & W HARRISON ST (600 S) & W HARRISON ST (600 S)",2011,23161,1838,"600 S CAMPBELL AVE","600 S CAMPBELL AVE"
2,"Street Resurface Menu(1-5)","W ADAMS ST & S OAKLEY BV (2300 W) & S WESTERN AV (2400 W)",2011,44693,1839,"2300 W ADAMS ST","2400 W ADAMS ST"
2,"Street Resurface Menu(1-5)","S LOOMIS ST & W TAYLOR ST (1000 S) & W FILLMORE ST (1050 S)",2011,19395,1840,"1000 S LOOMIS ST","1050 S LOOMIS ST"
2,"Street Speed Hump Menu","W LEXINGTON ST & S FRANCISCO AV (2900 W) & S SACRAMENTO BV (3000 W)",2011,3700,1841,"2900 W LEXINGTON ST","3000 W LEXINGTON ST"
2,"Traffic Equipment","W ROOSEVELT RD & S ASHLAND & W AVE",2012,3500,1946,"S ASHLAND & W ROOSEVELT RD","S ASHLAND & W AVE"
3,"Street Lighting","S MICHIGAN AVE & E CULLERTON ST (2000 S) & E 21 ST (2100 S)",2011,700,2585,"2000 S MICHIGAN AVE","2100 S MICHIGAN AVE"
3,"Street Lighting","S WABASH AVE & E 45 ST (4458 S) & E 46 ST (4600 S)",2011,68250,2586,"4458 S WABASH AVE","4600 S WABASH AVE"
3,"Street Lighting","S PRINCETON AVE & W 48 PL (4842 S) & W 51 ST (5100 S)",2011,156500,2587,"4842 S PRINCETON AVE","5100 S PRINCETON AVE"
3,"Sidewalk Menu","W 42ND PL & S SHIELDS AV (342 W) & S SHIELDS AV (342 W)",2011,20538,2593,"342 W 42ND PL","342 W 42ND PL"
3,"Sidewalk Menu","E 37TH PL & S STATE ST (0 E) & S WABASH AV (44 E)",2011,56398,2594,"0 E 37TH PL","44 E 37TH PL"
3,"Sidewalk Menu","S WABASH AVE & E 18 ST (1820 S) & E 18 ST (1820 S)",2011,4006,2596,"1820 S WABASH AVE","1820 S WABASH AVE"
3,"Sidewalk Menu","S WABASH AVE & E 41 ST (4100 S) & E 42 ST (4200 S)",2011,18120,2597,"4100 S WABASH AVE","4200 S WABASH AVE"
3,"Sidewalk Menu","E 53RD ST & S MICHIGAN AV (120 E) & S INDIANA AV (200 E)",2011,14272,2598,"120 E 53RD ST","200 E 53RD ST"
3,"Sidewalk Menu","S LOOMIS BLVD & W 47 ST (4700 S) & W 48 ST (4800 S)",2011,38840,2599,"4700 S LOOMIS BLVD","4800 S LOOMIS BLVD"
3,"Sidewalk Menu","E 24TH ST & S STATE ST (0 E) & S WABASH AV (44 E)",2011,7491,2600,"0 E 24TH ST","44 E 24TH ST"
