"ward","type","location","year","est_cost","id","start_location","end_location"
26,"Street Speed Hump Menu","W POTOMAC AV-- N ST LOUIS AV (3500 W) -to- N CENTRAL PARK AV (3574 W) 1",2006,2500,20995,"W POTOMAC AV AND N ST LOUIS AV","W POTOMAC AV AND N CENTRAL PARK AV"
26,"Street Speed Hump Menu","W POTOMAC AV-- N HOMAN AV (3400 W) -to- N ST LOUIS AV (3500 W) 2",2006,5000,20996,"W POTOMAC AV AND N HOMAN AV","W POTOMAC AV AND N ST LOUIS AV"
26,"Pole Painting","N FRANCISCO AV-- W CHICAGO AV (800 N) -to- W AUGUSTA BV (1000 N)",2006,1400,20998,"N FRANCISCO AV AND W CHICAGO AV","N FRANCISCO AV AND W AUGUSTA BV"
26,"Pole Painting","N MOZART ST-- W CHICAGO AV (800 N) -to- W AUGUSTA BV (1000 N)",2006,1400,20999,"N MOZART ST AND W CHICAGO AV","N MOZART ST AND W AUGUSTA BV"
26,"Pole Painting","N RIDGEWAY AV-- W CORTLAND ST (1900 N) -to- W ARMITAGE AV (2000 N)",2006,800,21000,"N RIDGEWAY AV AND W CORTLAND ST","N RIDGEWAY AV AND W ARMITAGE AV"
26,"Street Lighting","N FRANCISCO AV-- W CHICAGO AV (800 N) -to- W AUGUSTA BV (1000 N)",2006,2900,21002,"N FRANCISCO AV AND W CHICAGO AV","N FRANCISCO AV AND W AUGUSTA BV"
26,"Street Lighting","N MONTICELLO AV-- W HIRSCH ST (1400 N) -to- W NORTH AV (1600 N)",2006,170000,21003,"N MONTICELLO AV AND W HIRSCH ST","N MONTICELLO AV AND W NORTH AV"
26,"Street Lighting","N MOZART ST-- W CHICAGO AV (800 N) -to- W AUGUSTA BV (1000 N)",2006,2900,21004,"N MOZART ST AND W CHICAGO AV","N MOZART ST AND W AUGUSTA BV"
26,"Street Lighting","N RIDGEWAY AV-- W CORTLAND ST (1900 N) -to- W ARMITAGE AV (2000 N)",2006,1600,21005,"N RIDGEWAY AV AND W CORTLAND ST","N RIDGEWAY AV AND W ARMITAGE AV"
26,"Street Speed Hump Menu","N MONTICELLO AV-- W POTOMAC AV (1300 N) -to- W GRAND AV (1213 N) 2",2007,3300,21009,"N MONTICELLO AV AND W POTOMAC AV","N MONTICELLO AV AND W GRAND AV"
26,"Street Speed Hump Menu","N TROY ST-- W NORTH AV (1600 N) -to- W BLOOMINGDALE AV (1800 N) 5",2007,8250,21010,"N TROY ST AND W NORTH AV","N TROY ST AND W BLOOMINGDALE AV"
26,"Street Speed Hump Menu","W SUPERIOR ST-- N CAMPBELL AV (2500 W) -to- N ROCKWELL ST (2600 W) 2",2007,3300,21011,"W SUPERIOR ST AND N CAMPBELL AV","W SUPERIOR ST AND N ROCKWELL ST"
26,"Street Lighting","N FAIRFIELD AV-- W CHICAGO AV (800 N) -to- W AUGUSTA BV (1000 N)",2007,110000,21013,"N FAIRFIELD AV AND W CHICAGO AV","N FAIRFIELD AV AND W AUGUSTA BV"
26,"Street Lighting","N FAIRFIELD AV-- W CHICAGO AV (800 N) -to- W AUGUSTA BV (1000 N)",2007,130000,21014,"N FAIRFIELD AV AND W CHICAGO AV","N FAIRFIELD AV AND W AUGUSTA BV"
26,"Street Lighting","W HIRSCH ST-- N HOMAN AV (3400 W) -to- N CENTRAL PARK AV (3600 W)",2007,110000,21015,"W HIRSCH ST AND N HOMAN AV","W HIRSCH ST AND N CENTRAL PARK AV"
26,"Street Lighting","W HIRSCH ST-- N HOMAN AV (3400 W) -to- N CENTRAL PARK AV (3600 W)",2007,130000,21016,"W HIRSCH ST AND N HOMAN AV","W HIRSCH ST AND N CENTRAL PARK AV"
26,"Curb/Gutter Menu","N ALBANY AV-- W NORTH AV (1600 N) -to- W WABANSIA AV (1700 N)",2008,1357,21026,"N ALBANY AV AND W NORTH AV","N ALBANY AV AND W WABANSIA AV"
26,"Curb/Gutter Menu","W OHIO ST-- N HARTLAND CT (1744 W) -to- N HERMITAGE AV (1724 W)",2008,8034,21027,"W OHIO ST AND N HARTLAND CT","W OHIO ST AND N HERMITAGE AV"
26,"Miscellaneous-CDOT","N KEDZIE AV-- W NORTH AV (1600 N) -to- W PALMER BV (2175 N)",2008,15000,21031,"N KEDZIE AV AND W NORTH AV","N KEDZIE AV AND W PALMER BV"
26,"Sidewalk Menu","N MONTICELLO AV-- W WABANSIA AV (1700 N) -to- W CORTLAND ST (1900 N)",2008,266710,21032,"N MONTICELLO AV AND W WABANSIA AV","N MONTICELLO AV AND W CORTLAND ST"
26,"Sidewalk Menu","W BLOOMINGDALE AV-- N ALBANY AV (3100 W) -to- N KEDZIE AV (3200 W)",2008,77979,21033,"W BLOOMINGDALE AV AND N ALBANY AV","W BLOOMINGDALE AV AND N KEDZIE AV"
26,"Sidewalk Menu","W GRAND AV-- N WOLCOTT AV (1900 W) -to- N DAMEN AV (2000 W)",2008,1680,21034,"W GRAND AV AND N WOLCOTT AV","W GRAND AV AND N DAMEN AV"
26,"Sidewalk Menu","W HUBBARD ST-- N LEAVITT ST (2200 W) -to- N CLAREMONT AV (2332 W)",2008,5519,21035,"W HUBBARD ST AND N LEAVITT ST","W HUBBARD ST AND N CLAREMONT AV"
26,"Street Resurface Menu","N HUMBOLDT BV-- W WABANSIA AV (1702 N) -to- W BLOOMINGDALE AV (1800 N)",2008,26235,21037,"N HUMBOLDT BV AND W WABANSIA AV","N HUMBOLDT BV AND W BLOOMINGDALE AV"
26,"Street Speed Hump Menu","N CAMPBELL AV-- W DIVISION ST (1200 N) -to- W POTOMAC AV (1300 N) 2",2008,3500,21038,"N CAMPBELL AV AND W DIVISION ST","N CAMPBELL AV AND W POTOMAC AV"
26,"Street Speed Hump Menu","N CAMPBELL AV-- W HADDON AV (1132 N) -to- W DIVISION ST (1200 N) 1",2008,1750,21039,"N CAMPBELL AV AND W HADDON AV","N CAMPBELL AV AND W DIVISION ST"
26,"Street Speed Hump Menu","N HAMLIN AV-- W CORTLAND ST (1900 N) -to- W ARMITAGE AV (2000 N) 2",2008,3500,21040,"N HAMLIN AV AND W CORTLAND ST","N HAMLIN AV AND W ARMITAGE AV"
26,"Street Speed Hump Menu","N LAWNDALE AV-- W WABANSIA AV (1700 N) -to- W CORTLAND ST (1900 N) 4",2008,7000,21041,"N LAWNDALE AV AND W WABANSIA AV","N LAWNDALE AV AND W CORTLAND ST"
