"ward","type","location","year","est_cost","id","address"
2,"Alley Apron Menu","2151 W LE MOYNE ST",2016,9174.78,2228,"2151 W LE MOYNE ST"
2,"Curb & Gutter Menu","151 E CHICAGO AVE",2016,2687.2,2239,"151 E CHICAGO AVE"
2,"In-Road State Law Stop For Pedestrians Signs Menu","176 E CHESTNUT ST",2016,350,2244,"176 E CHESTNUT ST"
2,"In-Road State Law Stop For Pedestrians Signs Menu","176 E CHESTNUT ST",2016,350,2245,"176 E CHESTNUT ST"
2,"Street Light Upgrade Menu","161 W SCHILLER ST",2016,450,2251,"161 W SCHILLER ST"
2,"Curb & Gutter Menu","200 E DELAWARE PL",2017,15740.08,2281,"200 E DELAWARE PL"
2,"In-Road State Law Stop For Pedestrians Signs Menu","176 E CHESTNUT ST",2017,350,2285,"176 E CHESTNUT ST"
2,"Pavement Markings Menu","172 E CHESTNUT ST",2017,1400,2289,"172 E CHESTNUT ST"
2,"Sidewalk Menu","70 E ELM ST",2017,1128.73,2294,"70 E ELM ST"
2,"Sidewalk Menu","102 W GERMANIA PL",2017,38823.28,2295,"102 W GERMANIA PL"
2,"Sidewalk Menu","1236 N DEARBORN ST",2017,1272.98,2296,"1236 N DEARBORN ST"
2,"In-Road State Law Stop For Pedestrians Signs Menu","176 E CHESTNUT ST",2018,350,2326,"176 E CHESTNUT ST"
2,"In-Road State Law Stop For Pedestrians Sign","176 E CHESTNUT ST",2018,350,2327,"176 E CHESTNUT ST"
2,"OEMC POD CAMERA - 1500 W DIVISION","1500 W DIVISION ST",2018,27011,2333,"1500 W DIVISION ST"
2,"POD CAMERA - 2210 N SOUTHPORT AVE","2210 N SOUTHPORT AVE",2018,27011,2334,"2210 N SOUTHPORT AVE"
2,"Sidewalk Menu","102 W GERMANIA PL",2018,63565.31,2339,"102 W GERMANIA PL"
2,"Street Bump Outs Menu","172 E CHESTNUT ST",2018,7933.16,2340,"172 E CHESTNUT ST"
2,"Lake Shore Park Irrigation System","808 N LAKE SHORE DR",2019,113000,2358,"808 N LAKE SHORE DR"
2,"Curb & Gutter Menu","1325 N NOBLE ST",2019,18709.22,2359,"1325 N NOBLE ST"
2,"Curb & Gutter Menu","1325 N NOBLE ST",2019,3500.7,2361,"1325 N NOBLE ST"
2,"POD CAMERA: LAKE SHORE PARK","808 N LAKE SHORE DR",2019,24776,2362,"808 N LAKE SHORE DR"
2,"Sidewalk Menu","1601 N ORCHARD ST",2019,14517.27,2368,"1601 N ORCHARD ST"
2,"Street Light Residential Staggered Piggy Back Menu","108 W GERMANIA PL",2019,12052.76,2369,"108 W GERMANIA PL"
2,"In-Road State Law Stop For Pedestrians Signs Menu","176 E CHESTNUT ST",2020,350,2390,"176 E CHESTNUT ST"
2,"1 LPR W/ Existing Camera: SW Corner 1555 W Division","1555 W DIVISION ST",2021,10971,2413,"1555 W DIVISION ST"
2,"1 POD Camera: 310 E Chicago Ave","310 E CHICAGO AVE",2021,24776,2414,"310 E CHICAGO AVE"
2,"Alley Apron Menu","1401 N DEARBORN ST",2021,10059.91,2418,"1401 N DEARBORN ST"
2,"Alley Apron Menu","50 W SCHILLER ST",2021,18136.54,2419,"50 W SCHILLER ST"
2,"Seneca Park Playlot Improvement","220 E CHICAGO AVE",2021,197305.52,2425,"220 E CHICAGO AVE"
2,"1 POD Camera NW Corner 958 N Dearborn","958 N DEARBORN ST",2022,24776,2453,"958 N DEARBORN ST"
2,"1 PTZ Camera - NW 1100 N State","1100 N STATE ST",2022,24776,2456,"1100 N STATE ST"
2,"2 Tennis Court Resurfacing - 808 N Lake Shore Drive","808 N LAKE SHORE DR",2022,50000,2458,"808 N LAKE SHORE DR"
2,"Alley Apron Menu","2140 W LE MOYNE ST",2022,14868.18,2459,"2140 W LE MOYNE ST"
2,"Clover Park Pickle Ball Court Installation","2110 N SOUTHPORT AVE",2022,40000,2468,"2110 N SOUTHPORT AVE"
2,"Curb & Gutter Menu","2501 N WAYNE AVE",2022,45000,2469,"2501 N WAYNE AVE"
2,"Lake Shore Park Outdoor Fitness Center","808 N LAKE SHORE DR",2022,25000,2474,"808 N LAKE SHORE DR"
2,"Miscellaneous CDOT Projects","808 N LAKE SHORE DR",2022,38234.16,2475,"808 N LAKE SHORE DR"
2,"Miscellaneous CDOT Projects","861 N STATE ST",2022,660,2476,"861 N STATE ST"
2,"Sidewalk Menu","1941 N CLYBOURN AVE",2022,14878.86,2480,"1941 N CLYBOURN AVE"
2,"Street Light Pole for High Definition Camera Menu","1300 N CLEVELAND AVE",2022,3500,2482,"1300 N CLEVELAND AVE"
3,"Bollard Menu","353 W ROOT ST",2007,714,2550,"353 W ROOT ST"
3,"Street Lighting","5627 S SHIELDS AV",2007,1000,2583,"5627 S SHIELDS AV"
3,"Bollard Menu","232 W SWANN ST",2008,1540,2600,"232 W SWANN ST"
3,"Street Lighting","408 E 43 ST",2008,500,2639,"408 E 43 ST"
3,"Street Lighting","4420 S VINCENNES AV",2008,1500,2640,"4420 S VINCENNES AV"
3,"New Alley Construction","1503 S State",2009,270,2656,"1503 S State"
3,"Sidewalk Menu - Change Order","2726 S State",2009,1741,2672,"2726 S State"
3,"Sidewalk Menu - Change Order","2901 S State",2009,159,2673,"2901 S State"
3,"Sidewalk Menu - Change Order","2730 S State - SW corner",2010,15131,2707,"2730 S State - SW corner"
3,"New Alley Construction","1503 S State",2011,5961,2726,"1503 S State"
3,"Concrete Alley Menu","1503 S State",2012,216149,2753,"1503 S State"
